instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,120,2,5,565.6468827,"[[[[0, [2, 4, 1, 3]], [11, [11, 9, 6, 5]], [2, []], [1, []], [3, []], [18, [18, 19, 22, 24]], [19, []], [4, []], [34, [34, 38, 30, 29]], [48, [48, 47, 49, 28]], [47, []], [49, []], [38, []], [30, []], [29, []], [28, []], [35, [35, 36, 37, 45, 41, 43, 20, 21]], [36, []], [37, []], [45, [42, 44, 46, 50]], [46, []], [50, []], [22, []], [21, []], [41, []], [42, []], [44, []], [43, []], [20, []], [24, []], [9, []], [6, []], [5, []]], [[0, []], [10, [10, 14, 12]], [12, []], [14, []], [15, [15, 16, 17, 13]], [13, [27, 33, 32, 31]], [27, []], [33, []], [16, []], [17, []], [32, []], [31, []], [39, [39, 23, 26, 25]], [40, [40, 7, 8]], [26, []], [25, []], [23, []], [7, []], [8, []]]], [[[10, [10, 14, 12]]], [[11, [11, 9, 6, 5]]], [[18, [18, 19, 22, 24]]], [[15, [15, 16, 17, 13]]], [[13, [27, 33, 32, 31]]], [[34, [34, 38, 30, 29]]], [[48, [48, 47, 49, 28]]], [[35, [35, 36, 37, 45]]], [[35, [41, 43, 20, 21]]], [[45, [42, 44, 46, 50]]], [[39, [39, 23, 26, 25]]], [[40, [40, 7, 8]]]]]",644.6619038,"[[[[0, [3, 4, 1]], [11, [11]], [3, []], [4, []], [2, [20, 2, 9]], [1, []], [19, [19, 18, 22, 21]], [18, []], [20, []], [43, [43, 36, 37, 41]], [22, []], [21, []], [42, [42, 44, 45, 46]], [41, []], [36, []], [37, []], [44, []], [45, []], [46, []], [50, [50, 6, 7, 8]], [9, []], [6, []], [23, [23, 5]], [7, []], [8, []], [24, [24, 26]], [26, []], [40, [40]], [5, []]], [[0, []], [10, [10, 12, 15, 13]], [12, []], [13, []], [15, [16, 17, 14, 25]], [16, []], [17, []], [32, [32, 31, 28, 35]], [31, []], [14, []], [28, []], [35, []], [30, [30, 33, 34, 38]], [33, []], [34, []], [48, [48, 47, 49, 29]], [47, []], [49, []], [38, []], [29, []], [27, [27]], [25, []], [39, [39]]]], [[[11, [11]]], [[10, [10, 12, 15, 13]]], [[15, [16, 17, 14, 25]]], [[2, [20, 2, 9]]], [[19, [19, 18, 22, 21]]], [[32, [32, 31, 28, 35]]], [[43, [43, 36, 37, 41]]], [[42, [42, 44, 45, 46]]], [[30, [30, 33, 34, 38]]], [[48, [48, 47, 49, 29]]], [[50, [50, 6, 7, 8]]], [[27, [27]]], [[39, [39]], [23, [23, 5]]], [[24, [24, 26]]], [[40, [40]]]]]"
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,60,2,1,494.6124969,"[[[[0, [1, 2, 4]], [12, [12, 13]], [13, []], [14, [14, 17, 15, 16, 19]], [31, [31, 32, 27, 29, 30, 28, 34, 33]], [32, []], [17, []], [16, []], [15, []], [27, [49, 47, 48, 35, 36, 37, 38]], [29, []], [30, []], [38, []], [49, []], [47, []], [48, []], [34, []], [33, []], [28, []], [35, []], [36, []], [37, []], [19, []], [4, []], [2, []], [1, []]], [[0, [3]], [11, [11, 10, 5, 9, 6, 8, 7]], [10, []], [5, []], [9, []], [6, [40, 39, 25, 24, 26, 20, 21, 22]], [26, []], [40, []], [39, []], [25, []], [8, []], [7, []], [23, [41, 23, 42, 50, 45, 18, 46, 44, 43]], [24, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [22, []], [21, []], [20, []], [18, []], [3, []]]], [[[11, [11, 10, 5, 9, 6, 8, 7]]], [[12, [12, 13]]], [[14, [14, 17, 15, 16, 19]]], [[31, [31, 32, 27, 29, 30, 28, 34, 33]]], [[6, [40, 39, 25, 24, 26, 20, 21, 22]]], [[23, [46, 44, 43]]], [[27, [49, 47, 48, 35, 36, 37, 38]]], [[23, [41, 23, 42, 50, 45, 18]]]]]",567.6619038,"[[[[0, [4, 1, 2]], [4, []], [11, [11, 9, 6, 7, 8, 5]], [1, []], [2, []], [24, [24, 23, 21, 22, 26, 25]], [23, []], [9, [46, 50, 45, 37, 44, 42, 39, 40]], [21, []], [22, []], [46, []], [50, []], [45, []], [37, []], [44, []], [42, []], [6, []], [7, []], [26, []], [40, []], [39, []], [25, []], [8, []], [5, []]], [[0, [3]], [10, [10]], [14, [14, 17, 16, 15, 12, 13]], [17, []], [31, [31, 32, 27, 33, 34, 20, 19]], [32, []], [16, []], [15, []], [12, []], [13, []], [27, [48, 47, 49, 28, 35, 36, 18, 38, 30, 29, 43, 41]], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, []], [35, []], [36, []], [43, []], [41, []], [20, []], [19, []], [18, []], [3, []]]], [[[11, [11, 9, 6, 7, 8, 5]], [10, [10]]], [[14, [14, 17, 16, 15, 12, 13]]], [[24, [24, 23, 21, 22, 26, 25]]], [[31, [31, 32, 27, 33, 34, 20, 19]]], [[9, [46, 50, 45, 37, 44, 42, 39, 40]]], [[27, [38, 30, 29, 43, 41]]], [[27, [48, 47, 49, 28, 35, 36, 18]]]]]"
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,60,2,2,520.6124969,"[[[[0, [4, 2]], [11, [11, 12]], [10, [10, 17, 15, 16, 13, 14]], [12, []], [14, []], [31, [31, 32, 30, 29, 28, 34, 33, 37]], [32, []], [17, []], [16, []], [15, []], [13, []], [27, [27, 38, 49, 48, 47, 36, 35, 19]], [30, []], [38, []], [49, []], [34, []], [33, []], [48, []], [47, []], [29, []], [28, []], [35, []], [36, []], [37, []], [19, []], [4, []], [2, []]], [[0, [3]], [5, [5, 1, 8, 6, 9, 7]], [7, []], [8, []], [9, []], [6, []], [24, [24, 26, 23, 18, 20, 21, 22, 25]], [25, [40, 39, 41, 42]], [40, []], [39, []], [26, []], [23, [50, 46, 45, 44, 43]], [1, []], [18, []], [20, []], [21, []], [22, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [3, []]]], [[[11, [11, 12]]], [[5, [5, 1, 8, 6, 9, 7]]], [[10, [10, 17, 15, 16, 13, 14]]], [[24, [24, 26, 23, 18, 20, 21, 22, 25]]], [[31, [31, 32, 30, 29, 28, 34, 33, 37]]], [[25, [40, 39, 41, 42]]], [[23, [50, 46, 45, 44, 43]]], [[27, [27, 38, 49, 48, 47, 36, 35, 19]]]]]",,None
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,60,2,3,504,"[[[[0, [1]], [1, []], [10, [10, 11, 9, 6, 8, 5, 7]], [11, []], [9, []], [6, []], [8, []], [5, [20, 24, 23, 25, 26, 39, 21, 22]], [20, [50, 46, 45, 44, 43, 40, 41, 42]], [21, []], [22, []], [50, []], [46, []], [45, []], [44, []], [43, []], [42, []], [41, []], [24, []], [23, []], [7, []], [25, []], [26, []], [40, []], [39, []]], [[0, [4, 3, 2]], [2, []], [12, [12, 14, 16, 15, 13, 17]], [14, []], [31, [31, 32, 27, 33, 19]], [32, []], [17, []], [16, []], [15, []], [13, []], [27, [48, 47, 49, 28, 34, 38, 30, 29]], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, [35, 36, 37, 18]], [35, []], [36, []], [37, []], [19, []], [18, []], [4, []], [3, []]]], [[[10, [10, 11, 9, 6, 8, 5, 7]]], [[12, [12, 14, 16, 15, 13, 17]]], [[5, [20, 24, 23, 25, 26, 39, 21, 22]]], [[31, [31, 32, 27, 33, 19]]], [[20, [50, 46, 45, 44, 43, 40, 41, 42]]], [[27, [48, 47, 49, 28, 34, 38, 30, 29]]], [[28, [35, 36, 37, 18]]]]]",528.6619038,"[[[[0, [3]], [10, [10]], [14, [14, 16, 17, 13, 15]], [15, []], [16, []], [17, []], [31, [31, 32, 27, 33, 34, 38, 30, 29]], [32, []], [13, []], [27, [48, 47, 49, 28, 35, 36, 37]], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, [45, 44, 43]], [35, []], [36, []], [37, []], [45, []], [44, []], [43, []], [3, []]], [[0, [2, 1]], [12, [12, 6, 7, 8, 5, 9, 4]], [11, [11, 22, 21, 20, 18, 19]], [1, []], [5, []], [9, []], [6, []], [23, [40, 39, 41, 42, 46, 50, 23, 26]], [7, []], [8, []], [40, []], [39, []], [26, []], [25, [25, 24]], [24, []], [41, []], [42, []], [46, []], [50, []], [22, []], [21, []], [20, []], [18, []], [19, []], [4, []], [2, []]]], [[[12, [12, 6, 7, 8, 5, 9, 4]], [10, [10]]], [[14, [14, 16, 17, 13, 15]]], [[11, [11, 22, 21, 20, 18, 19]]], [[31, [31, 32, 27, 33, 34, 38, 30, 29]]], [[23, [40, 39, 41, 42, 46, 50, 23, 26]]], [[25, [25, 24]]], [[27, [48, 47, 49, 28, 35, 36, 37]]], [[28, [45, 44, 43]]]]]"
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,90,2,4,504.0688837,"[[[[0, []], [15, [15, 16, 17, 14, 12, 10, 6, 13]], [16, []], [17, []], [32, [32, 31, 24, 25, 26, 11, 7, 9]], [31, []], [14, []], [13, []], [12, []], [10, []], [11, []], [24, []], [9, []], [6, []], [25, []], [40, [40, 39, 23, 8, 5]], [39, []], [26, []], [23, []], [7, []], [8, []], [5, []]], [[0, [3, 2, 4, 1]], [3, []], [2, []], [4, []], [19, [19]], [27, [27, 28, 29, 34, 33, 30]], [28, []], [29, []], [34, []], [33, []], [48, [48, 47, 49, 36, 37, 44, 43, 45, 38, 35]], [47, []], [49, []], [30, []], [38, []], [35, []], [36, []], [37, []], [43, []], [44, []], [45, []], [46, [46, 50, 42, 41, 21, 22, 20, 18]], [50, []], [42, []], [41, []], [21, []], [22, []], [20, []], [18, []], [1, []]]], [[[15, [15, 16, 17, 14, 12, 10, 6, 13]]], [[19, [19]]], [[32, [32, 31, 24, 25, 26, 11, 7, 9]]], [[27, [27, 28, 29, 34, 33, 30]]], [[48, [38, 35]]], [[48, [48, 47, 49, 36, 37, 44, 43, 45]]], [[40, [40, 39, 23, 8, 5]]], [[46, [46, 50, 42, 41, 21, 22, 20, 18]]]]]",529.6619038,"[[[[0, []], [5, [5]], [11, [11, 13, 6, 9]], [27, [27, 17, 26, 25, 14, 15, 16]], [13, []], [14, []], [15, []], [16, []], [17, []], [32, [32, 31, 39, 40, 23, 24, 7, 8]], [31, []], [39, []], [40, []], [26, []], [25, []], [23, []], [24, []], [7, []], [8, []], [6, []], [9, []]], [[0, [4, 3, 1, 2]], [3, []], [1, []], [2, []], [10, [10, 12, 21, 19]], [12, []], [28, [28, 29, 30, 34, 33, 38, 35, 36]], [29, []], [30, []], [34, []], [33, []], [48, [48, 47, 49, 37, 43, 44, 45, 46]], [47, []], [49, []], [38, []], [35, []], [36, []], [37, []], [43, []], [44, []], [45, []], [46, []], [50, [50, 22, 20, 18, 42, 41]], [22, []], [21, []], [42, []], [41, []], [20, []], [18, []], [19, []], [4, []]]], [[[5, [5]]], [[10, [10, 12, 21, 19]], [11, [11, 13, 6, 9]]], [[27, [27, 17, 26, 25, 14, 15, 16]]], [[28, [28, 29, 30, 34, 33, 38, 35, 36]]], [[32, [32, 31, 39, 40, 23, 24, 7, 8]]], [[48, [48, 47, 49, 37, 43, 44, 45, 46]]], [[50, [50, 22, 20, 18, 42, 41]]]]]"
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,4,120,2,5,585.2210894,"[[[[0, [1, 2, 10, 8, 4]], [5, [5, 11, 9, 12]], [31, [31, 18, 16, 17]], [11, []], [45, [45, 29, 34, 33]], [18, []], [9, []], [29, []], [34, []], [17, []], [49, [49, 36, 41]], [1, []], [36, []], [41, []], [12, []], [10, []], [2, []], [8, []], [16, []], [40, [40, 50]], [50, []], [33, []], [4, []]], [[0, [3]], [13, [13, 6, 15, 7]], [7, []], [19, [19, 28, 24, 26]], [6, []], [15, []], [3, []], [47, [47, 30, 25, 21]], [25, []], [46, [46, 27, 38, 35]], [39, [39, 32, 42, 37]], [27, [14, 22, 23, 20]], [30, []], [38, []], [14, []], [32, []], [22, []], [42, []], [35, []], [28, []], [24, []], [37, []], [48, [48, 44, 43]], [23, []], [21, []], [44, []], [26, []], [43, []], [20, []]]], [[[5, [5, 11, 9, 12]]], [[13, [13, 6, 15, 7]]], [[19, [19, 28, 24, 26]]], [[31, [31, 18, 16, 17]]], [[45, [45, 29, 34, 33]]], [[47, [47, 30, 25, 21]]], [[46, [46, 27, 38, 35]]], [[39, [39, 32, 42, 37]]], [[27, [14, 22, 23, 20]]], [[48, [48, 44, 43]]], [[49, [49, 36, 41]]], [[40, [40, 50]]]]]",683.7308492,"[[[[0, [1, 4, 2]], [14, [14, 8, 16, 11]], [11, []], [29, [29, 33, 23, 10]], [10, []], [2, []], [8, []], [16, []], [4, []], [33, []], [50, [50, 40, 48, 45, 31, 37]], [40, []], [23, []], [48, []], [37, []], [1, []], [36, [36, 18, 9, 22]], [22, []], [45, []], [18, []], [9, []], [31, []]], [[0, []], [13, [13, 15, 6, 7]], [7, []], [19, [19, 27, 12, 17]], [6, []], [15, []], [27, []], [39, [39, 42, 35, 44, 43, 3, 41, 5]], [3, []], [47, [47, 25, 32, 28]], [25, []], [46, [46, 49]], [32, []], [42, []], [34, [34, 38, 30, 24]], [41, []], [49, []], [12, []], [17, []], [35, []], [28, []], [43, []], [26, [26, 21, 20]], [44, []], [21, []], [24, []], [5, []], [20, []], [38, []], [30, []]]], [[[13, [13, 15, 6, 7]]], [[14, [14, 8, 16, 11]]], [[29, [29, 33, 23, 10]]], [[19, [19, 27, 12, 17]]], [[39, [39, 42, 35, 41]]], [[39, [44, 43, 3, 5]]], [[47, [47, 25, 32, 28]]], [[46, [46, 49]], [50, [45, 31]]], [[50, [50, 40, 48, 37]]], [[34, [34, 38, 30, 24]]], [[26, [26, 21, 20]]], [[36, [36, 18, 9, 22]]]]]"
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,8,60,2,1,554.0831892,"[[[[0, [4, 3]], [15, [15, 6, 7, 13]], [7, []], [6, [25, 27, 28, 19, 21, 23, 26, 20]], [13, []], [19, []], [25, []], [27, []], [20, []], [43, [43, 44, 33, 40, 37, 24]], [26, []], [28, []], [24, [50, 48, 47, 39, 46]], [44, []], [4, []], [33, []], [50, []], [40, []], [21, []], [37, []], [23, []], [48, []], [3, []], [47, []], [39, []], [46, []]], [[0, [1, 2]], [5, [5, 8, 10, 12, 16]], [16, []], [8, []], [2, []], [35, [35, 32, 49, 38, 30, 31, 29, 17]], [42, [42, 34, 41, 36, 45, 9, 11, 14]], [34, []], [17, []], [10, []], [12, []], [41, []], [49, []], [36, []], [1, []], [22, [22, 18]], [32, []], [9, []], [18, []], [45, []], [29, []], [11, []], [31, []], [14, []], [38, []], [30, []]]], [[[15, [15, 6, 7, 13]]], [[5, [5, 8, 10, 12, 16]]], [[6, [25, 27, 28, 19, 21, 23, 26, 20]]], [[35, [35, 32, 49, 38, 30, 31, 29, 17]]], [[42, [42, 34, 41, 36, 45, 9, 11, 14]]], [[22, [22, 18]]], [[43, [43, 44, 33, 40, 37, 24]]], [[24, [50, 48, 47, 39, 46]]]]]",,None
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,8,60,2,2,526.9072481,"[[[[0, [4, 3]], [3, []], [15, [15, 25, 19, 13, 7, 6, 5]], [25, []], [19, []], [13, []], [7, []], [6, []], [47, [47, 43, 27, 20, 24, 21, 23, 26]], [46, [46, 39, 48, 33, 40, 38, 37]], [39, []], [27, [50, 44]], [48, []], [37, []], [21, []], [23, []], [40, []], [50, []], [33, []], [4, []], [44, []], [24, []], [26, []], [5, []], [43, []], [20, []], [38, []]], [[0, [1]], [14, [14, 12, 8, 16, 11, 9, 10, 2, 29, 18, 22, 17, 30]], [11, []], [29, []], [18, []], [9, []], [45, [41, 36, 45, 42, 32, 49, 34, 35, 31, 28]], [31, []], [32, []], [22, []], [42, []], [17, []], [10, []], [12, []], [41, []], [49, []], [1, []], [36, []], [34, []], [35, []], [2, []], [8, []], [16, []], [28, []], [30, []]]], [[[14, [2, 29, 18, 22, 17, 30]]], [[14, [14, 12, 8, 16, 11, 9, 10]]], [[15, [15, 25, 19, 13, 7, 6, 5]]], [[45, [31, 28]]], [[45, [41, 36, 45, 42, 32, 49, 34, 35]]], [[47, [47, 43, 27, 20, 24, 21, 23, 26]]], [[46, [46, 39, 48, 33, 40, 38, 37]]], [[27, [50, 44]]]]]",,None
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,8,60,2,3,531.7099203,"[[[[0, [4]], [3, [3, 15, 13, 6, 5, 16, 7]], [15, []], [6, [19, 25, 27, 24, 21, 23, 26, 20]], [13, []], [19, []], [7, []], [47, [47, 46, 39, 37, 40, 33, 28]], [25, []], [46, []], [39, []], [27, []], [24, [48, 50, 43, 44]], [21, []], [37, []], [48, []], [23, []], [40, []], [50, []], [33, []], [44, []], [4, []], [16, []], [28, []], [26, []], [43, []], [5, []], [20, []]], [[0, [2, 1]], [14, [14, 9, 18, 11, 22, 12, 17]], [31, [31, 29, 32, 10, 8]], [9, []], [18, []], [45, [45, 42, 35, 34, 38, 41, 36]], [29, []], [11, []], [22, []], [32, []], [42, [49, 30]], [34, []], [17, []], [41, []], [49, []], [36, []], [1, []], [12, []], [10, []], [8, []], [2, []], [35, []], [38, []], [30, []]]], [[[14, [14, 9, 18, 11, 22, 12, 17]]], [[3, [3, 15, 13, 6, 5, 16, 7]]], [[6, [19, 25, 27, 24, 21, 23, 26, 20]]], [[31, [31, 29, 32, 10, 8]]], [[47, [47, 46, 39, 37, 40, 33, 28]]], [[45, [45, 42, 35, 34, 38, 41, 36]]], [[42, [49, 30]]], [[24, [48, 50, 43, 44]]]]]",,None
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,8,90,2,4,540.3112887,"[[[[0, [1, 2, 4, 3]], [3, [12, 10, 8, 5]], [5, []], [1, []], [49, [49, 36, 41, 34, 16, 23, 21, 24]], [36, []], [41, []], [12, []], [10, []], [17, [17, 26, 28, 30]], [34, []], [35, [35, 33, 40, 37, 50, 48, 44]], [2, []], [8, []], [16, []], [4, []], [33, []], [50, []], [40, []], [23, []], [48, []], [37, []], [21, []], [44, []], [24, []], [26, []], [28, []], [30, []]], [[0, []], [13, [13, 14, 15, 9, 11, 7, 6]], [7, []], [19, [19, 27, 25, 18, 29, 22, 20]], [6, []], [15, []], [27, []], [39, [39, 46, 47, 32, 31, 42, 38]], [25, []], [47, []], [46, []], [14, []], [32, []], [31, []], [9, []], [18, []], [45, [45, 43]], [29, []], [11, []], [22, []], [42, []], [38, []], [20, []], [43, []]]], [[[13, [13, 14, 15, 9, 11, 7, 6]]], [[3, [12, 10, 8, 5]]], [[19, [19, 27, 25, 18, 29, 22, 20]]], [[49, [49, 36, 41, 34, 16, 23, 21, 24]]], [[39, [39, 46, 47, 32, 31, 42, 38]]], [[17, [17, 26, 28, 30]]], [[35, [35, 33, 40, 37, 50, 48, 44]]], [[45, [45, 43]]]]]",,None
