instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_sol_drone_trip_distances,best_sol_avg_distance_per_drone_trip,best_sol_truck_wait_by_point,best_sol_drone_wait_by_point,best_sol_avg_truck_wait_by_point,best_sol_avg_drone_wait_by_point,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,best_multi_visit_sol_drone_trip_distances,best_multi_visit_sol_avg_distance_per_drone_trip,best_multi_visit_sol_truck_wait_by_point,best_multi_visit_sol_drone_wait_by_point,best_multi_visit_sol_avg_truck_wait_by_point,best_multi_visit_sol_avg_drone_wait_by_point,status,runtime_sec,instance_group,instance_name
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,120,2,5,565.6468827,"[[[[0, [2, 4, 1, 3]], [11, [11, 9, 6, 5]], [2, []], [1, []], [3, []], [18, [18, 19, 22, 24]], [19, []], [4, []], [34, [34, 38, 30, 29]], [48, [48, 47, 49, 28]], [47, []], [49, []], [38, []], [30, []], [29, []], [28, []], [35, [35, 36, 37, 45, 41, 43, 20, 21]], [36, []], [37, []], [45, [42, 44, 46, 50]], [46, []], [50, []], [22, []], [21, []], [41, []], [42, []], [44, []], [43, []], [20, []], [24, []], [9, []], [6, []], [5, []]], [[0, []], [10, [10, 14, 12]], [12, []], [14, []], [15, [15, 16, 17, 13]], [13, [27, 33, 32, 31]], [27, []], [33, []], [16, []], [17, []], [32, []], [31, []], [39, [39, 23, 26, 25]], [40, [40, 7, 8]], [26, []], [25, []], [23, []], [7, []], [8, []]]], [[[10, [10, 14, 12]]], [[11, [11, 9, 6, 5]]], [[18, [18, 19, 22, 24]]], [[15, [15, 16, 17, 13]]], [[13, [27, 33, 32, 31]]], [[34, [34, 38, 30, 29]]], [[48, [48, 47, 49, 28]]], [[35, [35, 36, 37, 45]]], [[35, [41, 43, 20, 21]]], [[45, [42, 44, 46, 50]]], [[39, [39, 23, 26, 25]]], [[40, [40, 7, 8]]]]]",756.2531641,"[[[[0, [3, 4, 1]], [11, [11]], [3, []], [4, []], [2, [20, 2, 9]], [1, []], [19, [19, 18, 22, 21]], [18, []], [20, []], [43, [43, 36, 37, 41]], [22, []], [21, []], [42, [42, 44, 45, 46]], [41, []], [36, []], [37, []], [44, []], [45, []], [46, []], [50, [50, 6, 7, 8]], [9, []], [6, []], [23, [23, 5]], [7, []], [8, []], [24, [24, 26]], [26, []], [40, [40]], [5, []]], [[0, []], [10, [10, 12, 15, 13]], [12, []], [13, []], [15, [16, 17, 14, 25]], [16, []], [17, []], [32, [32, 31, 28, 35]], [31, []], [14, []], [28, []], [35, []], [30, [30, 33, 34, 38]], [33, []], [34, []], [48, [48, 47, 49, 29]], [47, []], [49, []], [38, []], [29, []], [27, [27]], [25, []], [39, [39]]]], [[[11, [11]]], [[10, [10, 12, 15, 13]]], [[15, [16, 17, 14, 25]]], [[2, [20, 2, 9]]], [[19, [19, 18, 22, 21]]], [[32, [32, 31, 28, 35]]], [[43, [43, 36, 37, 41]]], [[42, [42, 44, 45, 46]]], [[30, [30, 33, 34, 38]]], [[48, [48, 47, 49, 29]]], [[50, [50, 6, 7, 8]]], [[27, [27]]], [[39, [39]], [23, [23, 5]]], [[24, [24, 26]]], [[40, [40]]]]]",3.833333,3.833333,"[23.323808, 23.323808, 40.0, 41.231056, 39.293765, 78.714675, 80.622577, 61.05735, 61.05735, 80.622577, 62.096699, 64.498062]",54.653477,"{10: 21.661904, 11: 7.661904, 18: 5.338096, 15: 0.0, 13: 2.984979, 34: 0.0, 48: 5.605054, 35: 0.0, 45: 0.839964, 39: 0.0, 40: 0.0}","{10: 0.0, 11: 0.0, 18: 0.0, 15: 13.722568, 13: 0.0, 34: 15.365231, 48: 0.0, 35: 29.879078, 45: 0.0, 39: 74.464804, 40: 20.641545}",4.008355,14.006657,3.133333,3.133333,"[23.323808, 23.323808, 41.231056, 24.33105, 41.231056, 58.137767, 64.776539, 76.157731, 66.603303, 80.622577, 78.587531, 46.647615, 74.000289, 45.607017, 64.498062]",53.938614,"{11: 7.661904, 10: 21.661904, 15: 0.0, 2: 0.0, 19: 0.0, 32: 0.0, 43: 0.0, 42: 6.147749, 30: 0.0, 48: 0.0, 50: 1.447668, 27: 0.0, 23: 0.0, 39: 0.0, 24: 0.0, 40: 7.052539}","{11: 0.0, 10: 0.0, 15: 10.046376, 2: 2.172571, 19: 5.218947, 32: 6.315588, 43: 2.996202, 42: 0.0, 30: 39.310079, 48: 30.462096, 50: 0.0, 27: 2.364904, 23: 26.345555, 39: 64.344655, 24: 36.468101, 40: 0.0}",2.748235,14.127817,OK,4079.117,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,60,2,1,494.6124969,"[[[[0, [1, 2, 4]], [12, [12, 13]], [13, []], [14, [14, 17, 15, 16, 19]], [31, [31, 32, 27, 29, 30, 28, 34, 33]], [32, []], [17, []], [16, []], [15, []], [27, [49, 47, 48, 35, 36, 37, 38]], [29, []], [30, []], [38, []], [49, []], [47, []], [48, []], [34, []], [33, []], [28, []], [35, []], [36, []], [37, []], [19, []], [4, []], [2, []], [1, []]], [[0, [3]], [11, [11, 10, 5, 9, 6, 8, 7]], [10, []], [5, []], [9, []], [6, [40, 39, 25, 24, 26, 20, 21, 22]], [26, []], [40, []], [39, []], [25, []], [8, []], [7, []], [23, [41, 23, 42, 50, 45, 18, 46, 44, 43]], [24, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [22, []], [21, []], [20, []], [18, []], [3, []]]], [[[11, [11, 10, 5, 9, 6, 8, 7]]], [[12, [12, 13]]], [[14, [14, 17, 15, 16, 19]]], [[31, [31, 32, 27, 29, 30, 28, 34, 33]]], [[6, [40, 39, 25, 24, 26, 20, 21, 22]]], [[23, [46, 44, 43]]], [[27, [49, 47, 48, 35, 36, 37, 38]]], [[23, [41, 23, 42, 50, 45, 18]]]]]",567.6619038,"[[[[0, [4, 1, 2]], [4, []], [11, [11, 9, 6, 7, 8, 5]], [1, []], [2, []], [24, [24, 23, 21, 22, 26, 25]], [23, []], [9, [46, 50, 45, 37, 44, 42, 39, 40]], [21, []], [22, []], [46, []], [50, []], [45, []], [37, []], [44, []], [42, []], [6, []], [7, []], [26, []], [40, []], [39, []], [25, []], [8, []], [5, []]], [[0, [3]], [10, [10]], [14, [14, 17, 16, 15, 12, 13]], [17, []], [31, [31, 32, 27, 33, 34, 20, 19]], [32, []], [16, []], [15, []], [12, []], [13, []], [27, [48, 47, 49, 28, 35, 36, 18, 38, 30, 29, 43, 41]], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, []], [35, []], [36, []], [43, []], [41, []], [20, []], [19, []], [18, []], [3, []]]], [[[11, [11, 9, 6, 7, 8, 5]], [10, [10]]], [[14, [14, 17, 16, 15, 12, 13]]], [[24, [24, 23, 21, 22, 26, 25]]], [[31, [31, 32, 27, 33, 34, 20, 19]]], [[9, [46, 50, 45, 37, 44, 42, 39, 40]]], [[27, [38, 30, 29, 43, 41]]], [[27, [48, 47, 49, 28, 35, 36, 18]]]]]",5.75,5.75,"[23.323808, 33.526109, 30.265492, 51.224994, 33.105891, 44.72136, 46.647615, 44.72136]",38.442078,"{11: 7.661904, 12: 2.763055, 14: 0.0, 31: 3.849442, 6: 10.891042, 23: 0.0, 27: 0.0}","{11: 0.0, 12: 0.0, 14: 6.306501, 31: 0.0, 6: 0.0, 23: 119.223233, 27: 41.182799}",3.595063,23.816076,6.571429,6.571429,"[28.980662, 30.265492, 45.607017, 51.224994, 36.055513, 46.647615, 46.647615]",40.775558,"{10: 7.661904, 11: 0.0, 14: 0.0, 24: 0.0, 31: 0.0, 9: 18.831265, 27: 0.0}","{10: 0.0, 11: 0.338096, 14: 13.529158, 24: 29.534588, 31: 5.049407, 9: 0.0, 27: 96.54277}",3.784738,20.713431,OK,3855.384,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,60,2,2,520.6124969,"[[[[0, [4, 2]], [11, [11, 12]], [10, [10, 17, 15, 16, 13, 14]], [12, []], [14, []], [31, [31, 32, 30, 29, 28, 34, 33, 37]], [32, []], [17, []], [16, []], [15, []], [13, []], [27, [27, 38, 49, 48, 47, 36, 35, 19]], [30, []], [38, []], [49, []], [34, []], [33, []], [48, []], [47, []], [29, []], [28, []], [35, []], [36, []], [37, []], [19, []], [4, []], [2, []]], [[0, [3]], [5, [5, 1, 8, 6, 9, 7]], [7, []], [8, []], [9, []], [6, []], [24, [24, 26, 23, 18, 20, 21, 22, 25]], [25, [40, 39, 41, 42]], [40, []], [39, []], [26, []], [23, [50, 46, 45, 44, 43]], [1, []], [18, []], [20, []], [21, []], [22, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [3, []]]], [[[11, [11, 12]]], [[5, [5, 1, 8, 6, 9, 7]]], [[10, [10, 17, 15, 16, 13, 14]]], [[24, [24, 26, 23, 18, 20, 21, 22, 25]]], [[31, [31, 32, 30, 29, 28, 34, 33, 37]]], [[25, [40, 39, 41, 42]]], [[23, [50, 46, 45, 44, 43]]], [[27, [27, 38, 49, 48, 47, 36, 35, 19]]]]]",,None,5.875,5.875,"[23.323808, 21.540659, 23.323808, 45.607017, 51.224994, 51.419841, 44.72136, 46.647615]",38.476138,"{11: 7.661904, 5: 0.0, 10: 0.0, 24: 0.0, 31: 4.950593, 25: 18.513429, 23: 0.0, 27: 0.0}","{11: 0.0, 5: 3.22967, 10: 5.22967, 24: 8.196491, 31: 0.0, 25: 0.0, 23: 69.927755, 27: 39.06534}",3.890741,15.706116,,,[],,{},{},,,OK,3718.335,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,60,2,3,504,"[[[[0, [1]], [1, []], [10, [10, 11, 9, 6, 8, 5, 7]], [11, []], [9, []], [6, []], [8, []], [5, [20, 24, 23, 25, 26, 39, 21, 22]], [20, [50, 46, 45, 44, 43, 40, 41, 42]], [21, []], [22, []], [50, []], [46, []], [45, []], [44, []], [43, []], [42, []], [41, []], [24, []], [23, []], [7, []], [25, []], [26, []], [40, []], [39, []]], [[0, [4, 3, 2]], [2, []], [12, [12, 14, 16, 15, 13, 17]], [14, []], [31, [31, 32, 27, 33, 19]], [32, []], [17, []], [16, []], [15, []], [13, []], [27, [48, 47, 49, 28, 34, 38, 30, 29]], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, [35, 36, 37, 18]], [35, []], [36, []], [37, []], [19, []], [18, []], [4, []], [3, []]]], [[[10, [10, 11, 9, 6, 8, 5, 7]]], [[12, [12, 14, 16, 15, 13, 17]]], [[5, [20, 24, 23, 25, 26, 39, 21, 22]]], [[31, [31, 32, 27, 33, 19]]], [[20, [50, 46, 45, 44, 43, 40, 41, 42]]], [[27, [48, 47, 49, 28, 34, 38, 30, 29]]], [[28, [35, 36, 37, 18]]]]]",545.6404669,"[[[[0, [3]], [10, [10]], [14, [14, 16, 17, 13, 15]], [15, []], [16, []], [17, []], [31, [31, 32, 27, 33, 34, 38, 30, 29]], [32, []], [13, []], [27, [48, 47, 49, 28, 35, 36, 37]], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, [45, 44, 43]], [35, []], [36, []], [37, []], [45, []], [44, []], [43, []], [3, []]], [[0, [2, 1]], [12, [12, 6, 7, 8, 5, 9, 4]], [11, [11, 22, 21, 20, 18, 19]], [1, []], [5, []], [9, []], [6, []], [23, [40, 39, 41, 42, 46, 50, 23, 26]], [7, []], [8, []], [40, []], [39, []], [26, []], [25, [25, 24]], [24, []], [41, []], [42, []], [46, []], [50, []], [22, []], [21, []], [20, []], [18, []], [19, []], [4, []], [2, []]]], [[[12, [12, 6, 7, 8, 5, 9, 4]], [10, [10]]], [[14, [14, 16, 17, 13, 15]]], [[11, [11, 22, 21, 20, 18, 19]]], [[31, [31, 32, 27, 33, 34, 38, 30, 29]]], [[23, [40, 39, 41, 42, 46, 50, 23, 26]]], [[25, [25, 24]]], [[27, [48, 47, 49, 28, 35, 36, 37]]], [[28, [45, 44, 43]]]]]",6.571429,6.571429,"[23.323808, 33.526109, 21.540659, 51.224994, 50.596443, 46.647615, 48.166378]",39.289429,"{10: 0.0, 12: 0.0, 5: 0.0, 31: 0.0, 20: 0.0, 27: 0.0, 28: 0.0}","{10: 8.338096, 12: 11.236945, 5: 7.22967, 31: 4.387503, 20: 9.089282, 27: 53.905863, 28: 102.61859}",0,28.115136,5.875,5.875,"[34.507721, 30.265492, 23.323808, 51.224994, 44.72136, 51.419841, 46.647615, 48.166378]",41.284651,"{10: 7.661904, 12: 9.732972, 14: 0.0, 11: 0.0, 31: 0.0, 23: 0.0, 25: 0.0, 27: 0.0, 28: 0.0}","{10: 0.0, 12: 0.0, 14: 13.529158, 11: 1.575042, 31: 11.049407, 23: 2.372292, 25: 96.748651, 27: 4.244445, 28: 60.593003}",1.932764,21.123555,OK,5424.713,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,90,2,4,504.0688837,"[[[[0, []], [15, [15, 16, 17, 14, 12, 10, 6, 13]], [16, []], [17, []], [32, [32, 31, 24, 25, 26, 11, 7, 9]], [31, []], [14, []], [13, []], [12, []], [10, []], [11, []], [24, []], [9, []], [6, []], [25, []], [40, [40, 39, 23, 8, 5]], [39, []], [26, []], [23, []], [7, []], [8, []], [5, []]], [[0, [3, 2, 4, 1]], [3, []], [2, []], [4, []], [19, [19]], [27, [27, 28, 29, 34, 33, 30]], [28, []], [29, []], [34, []], [33, []], [48, [48, 47, 49, 36, 37, 44, 43, 45, 38, 35]], [47, []], [49, []], [30, []], [38, []], [35, []], [36, []], [37, []], [43, []], [44, []], [45, []], [46, [46, 50, 42, 41, 21, 22, 20, 18]], [50, []], [42, []], [41, []], [21, []], [22, []], [20, []], [18, []], [1, []]]], [[[15, [15, 16, 17, 14, 12, 10, 6, 13]]], [[19, [19]]], [[32, [32, 31, 24, 25, 26, 11, 7, 9]]], [[27, [27, 28, 29, 34, 33, 30]]], [[48, [38, 35]]], [[48, [48, 47, 49, 36, 37, 44, 43, 45]]], [[40, [40, 39, 23, 8, 5]]], [[46, [46, 50, 42, 41, 21, 22, 20, 18]]]]]",537.6568542,"[[[[0, []], [5, [5]], [11, [11, 13, 6, 9]], [27, [27, 17, 26, 25, 14, 15, 16]], [13, []], [14, []], [15, []], [16, []], [17, []], [32, [32, 31, 39, 40, 23, 24, 7, 8]], [31, []], [39, []], [40, []], [26, []], [25, []], [23, []], [24, []], [7, []], [8, []], [6, []], [9, []]], [[0, [4, 3, 1, 2]], [3, []], [1, []], [2, []], [10, [10, 12, 21, 19]], [12, []], [28, [28, 29, 30, 34, 33, 38, 35, 36]], [29, []], [30, []], [34, []], [33, []], [48, [48, 47, 49, 37, 43, 44, 45, 46]], [47, []], [49, []], [38, []], [35, []], [36, []], [37, []], [43, []], [44, []], [45, []], [46, []], [50, [50, 22, 20, 18, 42, 41]], [22, []], [21, []], [42, []], [41, []], [20, []], [18, []], [19, []], [4, []]]], [[[5, [5]]], [[10, [10, 12, 21, 19]], [11, [11, 13, 6, 9]]], [[27, [27, 17, 26, 25, 14, 15, 16]]], [[28, [28, 29, 30, 34, 33, 38, 35, 36]]], [[32, [32, 31, 39, 40, 23, 24, 7, 8]]], [[48, [48, 47, 49, 37, 43, 44, 45, 46]]], [[50, [50, 22, 20, 18, 42, 41]]]]]",5.75,5.75,"[41.231056, 41.231056, 58.137767, 46.647615, 80.622577, 80.622577, 64.498062, 82.462113]",61.931603,"{15: 12.615528, 19: 14.615528, 32: 4.453356, 27: 0.0, 48: 0.0, 40: 0.0, 46: 0.0}","{15: 0.0, 19: 0.0, 32: 0.0, 27: 2.060664, 48: 14.531376, 40: 70.893036, 46: 76.457655}",4.526345,23.42039,6.571429,6.571429,"[21.540659, 28.980662, 46.647615, 48.166378, 58.137767, 80.622577, 78.587531]",51.811884,"{5: 0.0, 11: 0.0, 10: 17.661904, 27: 0.0, 28: 0.0, 32: 0.0, 48: 0.0, 50: 0.0}","{5: 3.22967, 11: 9.338096, 10: 0.0, 27: 5.676192, 28: 1.578715, 32: 57.607309, 48: 5.605522, 50: 70.394946}",2.207738,19.178806,OK,4491.946,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,4,120,2,5,585.2210894,"[[[[0, [1, 2, 10, 8, 4]], [5, [5, 11, 9, 12]], [31, [31, 18, 16, 17]], [11, []], [45, [45, 29, 34, 33]], [18, []], [9, []], [29, []], [34, []], [17, []], [49, [49, 36, 41]], [1, []], [36, []], [41, []], [12, []], [10, []], [2, []], [8, []], [16, []], [40, [40, 50]], [50, []], [33, []], [4, []]], [[0, [3]], [13, [13, 6, 15, 7]], [7, []], [19, [19, 28, 24, 26]], [6, []], [15, []], [3, []], [47, [47, 30, 25, 21]], [25, []], [46, [46, 27, 38, 35]], [39, [39, 32, 42, 37]], [27, [14, 22, 23, 20]], [30, []], [38, []], [14, []], [32, []], [22, []], [42, []], [35, []], [28, []], [24, []], [37, []], [48, [48, 44, 43]], [23, []], [21, []], [44, []], [26, []], [43, []], [20, []]]], [[[5, [5, 11, 9, 12]]], [[13, [13, 6, 15, 7]]], [[19, [19, 28, 24, 26]]], [[31, [31, 18, 16, 17]]], [[45, [45, 29, 34, 33]]], [[47, [47, 30, 25, 21]]], [[46, [46, 27, 38, 35]]], [[39, [39, 32, 42, 37]]], [[27, [14, 22, 23, 20]]], [[48, [48, 44, 43]]], [[49, [49, 36, 41]]], [[40, [40, 50]]]]]",683.7308492,"[[[[0, [1, 4, 2]], [14, [14, 8, 16, 11]], [11, []], [29, [29, 33, 23, 10]], [10, []], [2, []], [8, []], [16, []], [4, []], [33, []], [50, [50, 40, 48, 45, 31, 37]], [40, []], [23, []], [48, []], [37, []], [1, []], [36, [36, 18, 9, 22]], [22, []], [45, []], [18, []], [9, []], [31, []]], [[0, []], [13, [13, 15, 6, 7]], [7, []], [19, [19, 27, 12, 17]], [6, []], [15, []], [27, []], [39, [39, 42, 35, 44, 43, 3, 41, 5]], [3, []], [47, [47, 25, 32, 28]], [25, []], [46, [46, 49]], [32, []], [42, []], [34, [34, 38, 30, 24]], [41, []], [49, []], [12, []], [17, []], [35, []], [28, []], [43, []], [26, [26, 21, 20]], [44, []], [21, []], [24, []], [5, []], [20, []], [38, []], [30, []]]], [[[13, [13, 15, 6, 7]]], [[14, [14, 8, 16, 11]]], [[29, [29, 33, 23, 10]]], [[19, [19, 27, 12, 17]]], [[39, [39, 42, 35, 41]]], [[39, [44, 43, 3, 5]]], [[47, [47, 25, 32, 28]]], [[46, [46, 49]], [50, [45, 31]]], [[50, [50, 40, 48, 37]]], [[34, [34, 38, 30, 24]]], [[26, [26, 21, 20]]], [[36, [36, 18, 9, 22]]]]]",3.666667,3.666667,"[30.0, 62.096699, 64.498062, 30.265492, 53.814496, 38.626416, 21.540659, 33.105891, 36.055513, 67.082039, 80.622577, 78.587531]",49.691281,"{5: 0.0, 13: 0.0, 19: 0.0, 31: 0.181095, 45: 0.039994, 47: 0.0, 46: 0.0, 39: 0.0, 27: 1.798086, 48: 0.0, 49: 0.0, 40: 0.0}","{5: 15.0, 13: 2.951651, 19: 7.750969, 31: 0.0, 45: 0.0, 47: 10.437761, 46: 2.101333, 39: 7.133847, 27: 0.0, 48: 162.704121, 49: 9.083958, 40: 66.394946}",0.168265,23.629882,3.916667,3.916667,"[62.096699, 23.323808, 55.461698, 64.498062, 33.105891, 33.105891, 38.626416, 88.001386, 82.462113, 61.611687, 40.0, 78.714675]",55.084027,"{13: 0.0, 14: 21.661904, 29: 2.068945, 19: 19.29738, 39: 0.0, 47: 1.866153, 46: 0.0, 50: 5.772738, 34: 14.604215, 26: 0.0, 36: 0.0}","{13: 2.951651, 14: 0.0, 29: 0.0, 19: 0.0, 39: 28.48076, 47: 0.0, 46: 35.542878, 50: 2.023051, 34: 0.0, 26: 144.033106, 36: 18.799919}",5.933758,21.075579,OK,4231.006,random,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,8,60,2,1,554.0831892,"[[[[0, [4, 3]], [15, [15, 6, 7, 13]], [7, []], [6, [25, 27, 28, 19, 21, 23, 26, 20]], [13, []], [19, []], [25, []], [27, []], [20, []], [43, [43, 44, 33, 40, 37, 24]], [26, []], [28, []], [24, [50, 48, 47, 39, 46]], [44, []], [4, []], [33, []], [50, []], [40, []], [21, []], [37, []], [23, []], [48, []], [3, []], [47, []], [39, []], [46, []]], [[0, [1, 2]], [5, [5, 8, 10, 12, 16]], [16, []], [8, []], [2, []], [35, [35, 32, 49, 38, 30, 31, 29, 17]], [42, [42, 34, 41, 36, 45, 9, 11, 14]], [34, []], [17, []], [10, []], [12, []], [41, []], [49, []], [36, []], [1, []], [22, [22, 18]], [32, []], [9, []], [18, []], [45, []], [29, []], [11, []], [31, []], [14, []], [38, []], [30, []]]], [[[15, [15, 6, 7, 13]]], [[5, [5, 8, 10, 12, 16]]], [[6, [25, 27, 28, 19, 21, 23, 26, 20]]], [[35, [35, 32, 49, 38, 30, 31, 29, 17]]], [[42, [42, 34, 41, 36, 45, 9, 11, 14]]], [[22, [22, 18]]], [[43, [43, 44, 33, 40, 37, 24]]], [[24, [50, 48, 47, 39, 46]]]]]",,None,5.75,5.75,"[44.72136, 30.0, 51.419841, 48.166378, 46.647615, 39.293765, 34.234486, 50.596443]",43.134986,"{15: 4.36068, 5: 27.0, 6: 3.34924, 35: 7.083189, 42: 0.0, 22: 0.0, 43: 0.0, 24: 0.0}","{15: 0.0, 5: 0.0, 6: 0.0, 35: 0.0, 42: 39.339541, 22: 109.269928, 43: 26.185681, 24: 11.584536}",5.224139,23.297461,,,[],,{},{},,,OK,3986.876,random,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,8,60,2,2,526.9072481,"[[[[0, [4, 3]], [3, []], [15, [15, 25, 19, 13, 7, 6, 5]], [25, []], [19, []], [13, []], [7, []], [6, []], [47, [47, 43, 27, 20, 24, 21, 23, 26]], [46, [46, 39, 48, 33, 40, 38, 37]], [39, []], [27, [50, 44]], [48, []], [37, []], [21, []], [23, []], [40, []], [50, []], [33, []], [4, []], [44, []], [24, []], [26, []], [5, []], [43, []], [20, []], [38, []]], [[0, [1]], [14, [14, 12, 8, 16, 11, 9, 10, 2, 29, 18, 22, 17, 30]], [11, []], [29, []], [18, []], [9, []], [45, [41, 36, 45, 42, 32, 49, 34, 35, 31, 28]], [31, []], [32, []], [22, []], [42, []], [17, []], [10, []], [12, []], [41, []], [49, []], [1, []], [36, []], [34, []], [35, []], [2, []], [8, []], [16, []], [28, []], [30, []]]], [[[14, [2, 29, 18, 22, 17, 30]]], [[14, [14, 12, 8, 16, 11, 9, 10]]], [[15, [15, 25, 19, 13, 7, 6, 5]]], [[45, [31, 28]]], [[45, [41, 36, 45, 42, 32, 49, 34, 35]]], [[47, [47, 43, 27, 20, 24, 21, 23, 26]]], [[46, [46, 39, 48, 33, 40, 38, 37]]], [[27, [50, 44]]]]]",,None,5.875,5.875,"[23.323808, 23.323808, 44.72136, 53.814496, 53.814496, 38.626416, 21.540659, 36.055513]",36.902569,"{14: 86.323808, 15: 16.684487, 45: 3.245344, 47: 0.0, 46: 0.0, 27: 0.0}","{14: 0.0, 15: 0.0, 45: 38.430848, 47: 1.802128, 46: 34.099662, 27: 11.659036}",17.70894,14.331945,,,[],,{},{},,,OK,5224.177,random,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,8,60,2,3,531.7099203,"[[[[0, [4]], [3, [3, 15, 13, 6, 5, 16, 7]], [15, []], [6, [19, 25, 27, 24, 21, 23, 26, 20]], [13, []], [19, []], [7, []], [47, [47, 46, 39, 37, 40, 33, 28]], [25, []], [46, []], [39, []], [27, []], [24, [48, 50, 43, 44]], [21, []], [37, []], [48, []], [23, []], [40, []], [50, []], [33, []], [44, []], [4, []], [16, []], [28, []], [26, []], [43, []], [5, []], [20, []]], [[0, [2, 1]], [14, [14, 9, 18, 11, 22, 12, 17]], [31, [31, 29, 32, 10, 8]], [9, []], [18, []], [45, [45, 42, 35, 34, 38, 41, 36]], [29, []], [11, []], [22, []], [32, []], [42, [49, 30]], [34, []], [17, []], [41, []], [49, []], [36, []], [1, []], [12, []], [10, []], [8, []], [2, []], [35, []], [38, []], [30, []]]], [[[14, [14, 9, 18, 11, 22, 12, 17]]], [[3, [3, 15, 13, 6, 5, 16, 7]]], [[6, [19, 25, 27, 24, 21, 23, 26, 20]]], [[31, [31, 29, 32, 10, 8]]], [[47, [47, 46, 39, 37, 40, 33, 28]]], [[45, [45, 42, 35, 34, 38, 41, 36]]], [[42, [49, 30]]], [[24, [48, 50, 43, 44]]]]]",,None,5.875,5.875,"[23.323808, 45.607017, 51.419841, 30.265492, 38.626416, 53.814496, 46.647615, 50.596443]",42.537641,"{14: 35.661904, 3: 0.803509, 6: 10.906412, 31: 15.470842, 47: 0.0, 45: 0.0, 42: 0.0, 24: 0.0}","{14: 0.0, 3: 0.0, 6: 0.0, 31: 0.0, 47: 45.396712, 45: 8.805657, 42: 45.768944, 24: 41.388571}",7.855333,17.669986,,,[],,{},{},,,OK,3391.058,random,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_random/C201_0.5.dat,8,90,2,4,540.3112887,"[[[[0, [1, 2, 4, 3]], [3, [12, 10, 8, 5]], [5, []], [1, []], [49, [49, 36, 41, 34, 16, 23, 21, 24]], [36, []], [41, []], [12, []], [10, []], [17, [17, 26, 28, 30]], [34, []], [35, [35, 33, 40, 37, 50, 48, 44]], [2, []], [8, []], [16, []], [4, []], [33, []], [50, []], [40, []], [23, []], [48, []], [37, []], [21, []], [44, []], [24, []], [26, []], [28, []], [30, []]], [[0, []], [13, [13, 14, 15, 9, 11, 7, 6]], [7, []], [19, [19, 27, 25, 18, 29, 22, 20]], [6, []], [15, []], [27, []], [39, [39, 46, 47, 32, 31, 42, 38]], [25, []], [47, []], [46, []], [14, []], [32, []], [31, []], [9, []], [18, []], [45, [45, 43]], [29, []], [11, []], [22, []], [42, []], [38, []], [20, []], [43, []]]], [[[13, [13, 14, 15, 9, 11, 7, 6]]], [[3, [12, 10, 8, 5]]], [[19, [19, 27, 25, 18, 29, 22, 20]]], [[49, [49, 36, 41, 34, 16, 23, 21, 24]]], [[39, [39, 46, 47, 32, 31, 42, 38]]], [[17, [17, 26, 28, 30]]], [[35, [35, 33, 40, 37, 50, 48, 44]]], [[45, [45, 43]]]]]",,None,5.75,5.75,"[62.096699, 45.607017, 64.498062, 80.622577, 33.105891, 66.603303, 48.166378, 53.814496]",56.814303,"{13: 0.0, 3: 0.0, 19: 0.0, 49: 8.311289, 39: 0.0, 17: 0.0, 35: 0.0, 45: 0.0}","{13: 2.951651, 3: 13.196491, 19: 0.947461, 49: 0.0, 39: 3.198024, 17: 7.456692, 35: 10.605522, 45: 45.479812}",1.038911,10.479456,,,[],,{},{},,,OK,6437.111,random,C201_0.5.dat
