instance,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,1,1,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,1,2,,,,,0.006,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,1,3,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,1,4,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,1,5,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,2,1,,,,,0.002,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,2,2,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,2,3,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,2,4,,,,,0.002,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,2,5,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,3,1,,,,,0.002,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,3,2,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,3,3,,,,,0.002,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,3,4,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_0.5.dat,3,5,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,1,1,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,1,2,,,,,0.003,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,1,3,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,1,4,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,1,5,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,2,1,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,2,2,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,2,3,,,,,0.005,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,2,4,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,2,5,,,,,0.002,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,3,1,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,3,2,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,3,3,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,3,4,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
test_data\data_demand_random\30\C201_3.dat,3,5,,,,,0.0,"ERROR: TypeError: list indices must be integers or slices, not tuple"
