instance,drone_capacity,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,4,1,1,408.0,"[[[[0, [13, 26, 28, 23, 19, 18, 14, 30, 17, 16, 22]], [8, [8, 15, 12, 25, 27, 10]], [10, []], [25, []], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]], [[0, [5, 1, 4]], [5, []], [1, []], [3, [3]], [4, []], [7, [7, 6, 20, 24]], [2, [2]], [11, [11, 9, 21]], [9, []], [21, []], [20, []], [24, []], [6, []], [29, [29]]]], [[[8, [8, 15, 27]]], [[3, [3]]], [[8, [12, 25, 10]]], [[7, [7]]], [[7, [6, 20, 24]]], [[2, [2]]], [[11, [11]]], [[11, [9, 21]]], [[29, [29]]]]]",,None,397.235,OK
test_data\data_demand_random\30\C201_0.5.dat,4,1,2,422.0,"[[[[0, [2, 1, 5, 16, 7, 4, 13, 14, 22, 18]], [5, []], [2, []], [7, []], [3, [3, 12, 25, 15]], [4, []], [1, []], [12, [27, 17, 19]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [27, []], [22, []]], [[0, [9, 30, 28, 23, 26, 10, 21, 24]], [6, [6, 8, 20]], [28, []], [26, []], [23, []], [9, []], [11, [11]], [10, []], [8, []], [21, []], [30, []], [29, [29]], [24, []], [20, []]]], [[[6, [6, 8, 20]]], [[3, [3]]], [[3, [12, 25, 15]]], [[12, [17]]], [[12, [27, 19]]], [[11, [11]]], [[29, [29]]]]]",,None,239.331,OK
test_data\data_demand_random\30\C201_0.5.dat,4,1,3,429.0,"[[[[0, [4, 7, 1, 5, 28, 26, 13, 22]], [5, []], [4, []], [3, [3]], [7, []], [1, []], [2, [2]], [13, []], [25, [25, 27, 20, 23]], [23, []], [26, []], [28, []], [27, []], [22, []], [20, []]], [[0, [16, 14, 18, 30, 8, 21]], [24, [24, 10]], [6, [6, 19]], [29, [29]], [30, []], [17, [17, 15]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 9]], [9, []], [11, [11]], [10, []], [8, []], [21, []]]], [[[24, [24, 10]]], [[3, [3]]], [[6, [6, 19]]], [[29, [29]]], [[2, [2]]], [[17, [17, 15]]], [[12, [12, 9]]], [[25, [25, 27, 20, 23]]], [[11, [11]]]]]",,None,332.898,OK
test_data\data_demand_random\30\C201_0.5.dat,4,1,4,413.0,"[[[[0, [30, 17, 23, 13, 28, 26, 18, 19, 14, 22, 21, 20]], [22, []], [27, [27, 15, 16]], [30, []], [28, []], [26, []], [23, []], [18, []], [17, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 9]], [13, []], [9, []], [21, []], [20, []]], [[0, [5, 11]], [24, [24, 4, 1]], [29, [29]], [6, [6, 10]], [25, [25]], [11, []], [10, []], [2, [2, 7, 8]], [1, []], [7, []], [3, [3]], [4, []], [5, []], [8, []]]], [[[24, [1]]], [[24, [24, 4]]], [[29, [29]]], [[6, [6, 10]]], [[27, [27, 15, 16]]], [[12, [12, 9]]], [[25, [25]]], [[2, [2]]], [[2, [7, 8]]], [[3, [3]]]]]",,None,259.128,OK
test_data\data_demand_random\30\C201_0.5.dat,4,1,5,406.0,"[[[[0, [23, 26, 28, 30, 17, 18, 22, 19, 16, 12, 15, 27, 13, 14]], [21, [21, 9]], [9, []], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]], [[0, [5, 1]], [5, [10, 4]], [2, [2, 8, 7]], [1, []], [7, []], [3, [3]], [4, []], [11, [11]], [10, []], [8, []], [25, [25, 6]], [29, [29, 20, 24]], [6, []], [24, []], [20, []]]], [[[5, [10, 4]]], [[2, [8, 7]]], [[2, [2]]], [[3, [3]]], [[21, [21, 9]]], [[11, [11]]], [[25, [25, 6]]], [[29, [29]]], [[29, [20, 24]]]]]",,None,426.6,OK
test_data\data_demand_random\30\C201_0.5.dat,4,2,1,409.0,"[[[[0, [1, 2, 11, 5]], [5, [10, 3]], [4, [4, 24]], [3, []], [7, [7, 6, 21]], [1, []], [2, []], [10, []], [11, []], [9, [9]], [8, [8]], [21, []], [24, []], [6, []], [29, [29]]], [[0, [23, 26, 28, 14, 13, 18, 19, 22, 16, 30]], [22, []], [27, [27, 12, 15, 20]], [25, [25, 17]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [20, []]]], [[[5, [3]]], [[5, [10]]], [[4, [4, 24]]], [[27, [27, 12, 15, 20]]], [[7, [7, 6, 21]]], [[25, [25, 17]]], [[9, [9]]], [[8, [8]]], [[29, [29]]]]]",,None,398.5,OK
test_data\data_demand_random\30\C201_0.5.dat,4,2,2,409.0,"[[[[0, [2, 1, 5]], [2, []], [1, []], [7, [7, 4]], [3, [3, 8, 21]], [4, []], [5, []], [10, [10, 24]], [11, [11, 9, 6]], [9, []], [8, []], [21, []], [6, []], [29, [29]], [24, []]], [[0, [28, 26, 16, 14, 18, 19, 30, 23, 12, 17, 13, 22, 15, 25, 27, 20]], [22, []], [30, []], [28, []], [26, []], [23, []], [18, []], [19, []], [12, []], [14, []], [16, []], [15, []], [17, []], [13, []], [25, []], [27, []], [20, []]]], [[[7, [7, 4]]], [[3, [3]]], [[3, [8, 21]]], [[10, [10, 24]]], [[11, [11]]], [[11, [9, 6]]], [[29, [29]]]]]",,None,628.283,OK
test_data\data_demand_random\30\C201_0.5.dat,4,2,3,410.0,"[[[[0, [5, 2, 1, 13]], [5, []], [2, []], [7, [7, 4, 23]], [3, [3]], [4, []], [1, []], [17, [17, 6]], [13, []], [25, [25, 24]], [23, []], [6, []], [29, [29]], [24, []]], [[0, [19, 30, 28, 26, 18, 22, 9, 16, 15, 20, 14]], [22, []], [27, [27, 12, 10]], [30, []], [28, []], [26, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, []], [11, [11]], [10, []], [8, [8, 21]], [21, []], [20, []]]], [[[7, [7, 4, 23]]], [[27, [27, 12, 10]]], [[3, [3]]], [[17, [17, 6]]], [[25, [25, 24]]], [[29, [29]]], [[11, [11]]], [[8, [8, 21]]]]]",462.0,"[[[[0, [5, 18, 23, 26, 28, 7, 22, 4]], [5, [1]], [2, [2, 24]], [1, []], [7, []], [4, []], [3, [3]], [18, []], [23, []], [26, []], [28, []], [27, [27, 20]], [24, []], [22, []], [20, []]], [[0, [30, 17, 14, 16, 13]], [6, [6, 25, 12, 15]], [29, [29]], [30, []], [25, []], [17, []], [19, [19]], [12, []], [14, []], [16, []], [15, []], [13, []], [9, [9, 21]], [11, [11]], [10, [10]], [8, [8]], [21, []]]], [[[5, [1]]], [[2, [2]]], [[2, [24]]], [[6, [6, 25, 12, 15]]], [[3, [3]]], [[29, [29]]], [[19, [19]]], [[9, [9, 21]]], [[11, [11]]], [[27, [27, 20]], [10, [10]]], [[8, [8]]]]]",728.738,OK
test_data\data_demand_random\30\C201_0.5.dat,4,2,4,409.0,"[[[[0, [19, 17, 26, 28, 30, 22, 20, 14, 18, 13, 23]], [8, [8, 25, 27]], [25, []], [13, []], [12, [12, 15, 16]], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []], [20, []]], [[0, [5, 2, 1, 4, 10]], [2, []], [1, []], [7, [7, 21]], [3, [3]], [4, []], [5, []], [10, []], [11, [11, 6, 9]], [9, []], [21, []], [29, [29]], [6, []], [24, [24]]]], [[[8, [8, 25, 27]]], [[7, [7, 21]]], [[3, [3]]], [[12, [12, 15, 16]]], [[11, [11]]], [[11, [6, 9]]], [[29, [29]]], [[24, [24]]]]]",453.0,"[[[[0, [19, 14, 17, 18, 22, 11]], [8, [8, 25, 12, 16, 15, 27]], [10, [10]], [11, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [9, [9, 6]], [25, []], [22, []], [27, []], [6, []], [29, [29]], [24, [24]]], [[0, [2, 5, 28, 30, 4, 23, 13, 1, 21]], [5, []], [2, []], [7, [7]], [3, [3, 20, 26]], [4, []], [1, []], [13, []], [23, []], [26, []], [28, []], [30, []], [21, []], [20, []]]], [[[8, [12, 16, 15]]], [[8, [8, 25, 27]]], [[10, [10]], [7, [7]]], [[3, [3]]], [[3, [20, 26]]], [[9, [9, 6]]], [[29, [29]]], [[24, [24]]]]]",390.317,OK
test_data\data_demand_random\30\C201_0.5.dat,4,2,5,422.0,"[[[[0, [1, 7, 4, 30, 5, 21, 6]], [4, []], [3, [3]], [7, []], [1, []], [2, [2]], [5, []], [8, [8, 20]], [21, []], [30, []], [6, []], [20, []]], [[0, [16, 19, 10, 13, 26, 28, 23, 18, 22, 14]], [10, []], [11, [11, 27, 17]], [9, [9, 25]], [13, []], [12, [12, 15, 24]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [25, []], [23, []], [26, []], [28, []], [29, [29]], [24, []], [27, []], [22, []]]], [[[11, [11]]], [[11, [27, 17]]], [[9, [9, 25]]], [[3, [3]]], [[12, [12, 15, 24]]], [[29, [29]]], [[2, [2]]], [[8, [8, 20]]]]]",,None,461.448,OK
