instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,4,60,1,1,419.9857113690718,"[[[[0, [2, 1, 7, 3, 4, 10, 8, 30, 22, 5]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, []], [11, [11]], [10, []], [8, []], [25, [25, 27, 20]], [30, []], [29, [29]], [27, []], [22, []], [20, []]], [[0, [26, 28, 13, 14, 18]], [21, [21, 16, 19, 23]], [9, [9, 12, 15, 17]], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [6, [6, 24]], [24, []]]], [[[21, [16, 23]]], [[11, [11]]], [[21, [21, 19]]], [[9, [15, 17]]], [[9, [9, 12]]], [[6, [6, 24]]], [[25, [25, 27, 20]]], [[29, [29]]]]]",,None,1.875,3.625,,,90.809,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,1,2,413.0,"[[[[0, [1, 5, 3]], [24, [24, 10]], [29, [29]], [6, [6, 8]], [27, [27, 25, 4]], [25, []], [8, []], [10, []], [11, [11]], [2, [2]], [1, []], [7, [7]], [3, []], [4, []], [5, []]], [[0, [14, 16, 13, 18, 23, 26, 28, 30, 19, 15, 17, 22]], [21, [21, 20]], [9, [9, 12]], [12, []], [14, []], [16, []], [15, []], [13, []], [17, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [22, []], [20, []]]], [[[24, [24, 10]]], [[29, [29]]], [[21, [21, 20]]], [[6, [6, 8]]], [[27, [27, 25, 4]]], [[9, [9, 12]]], [[11, [11]]], [[2, [2]]], [[7, [7]]]]]",453.0,"[[[[0, [30, 11, 5, 7, 1]], [24, [24]], [29, [29]], [30, []], [25, [25, 9]], [9, []], [11, []], [2, [2]], [4, [4, 3, 10]], [3, []], [7, []], [1, []], [5, []], [10, []], [8, [8, 21, 20]], [21, []], [20, []]], [[0, [13, 14, 16, 18, 23, 26, 28, 22, 17, 6]], [22, []], [27, [27, 15, 12, 19]], [13, []], [15, []], [12, []], [14, []], [16, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [6, []]]], [[[27, [27, 15]], [24, [24]]], [[29, [29]]], [[27, [12, 19]]], [[25, [25, 9]]], [[2, [2]]], [[4, [4, 10]]], [[4, [3]]], [[8, [8, 21, 20]]]]]",1.666667,3.333333,1.875,3.875,128.062,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,1,3,416.0,"[[[[0, [23, 26, 28, 30, 18, 13, 19, 22, 17, 20, 14]], [8, [8, 21, 15, 12, 16]], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [21, []], [22, []], [20, []]], [[0, [5, 1]], [10, [10, 4, 3]], [5, []], [4, []], [3, []], [7, [7, 6]], [1, []], [2, [2]], [11, [11]], [9, [9, 25]], [25, []], [27, [27, 24]], [6, []], [29, [29]], [24, []]]], [[[10, [3]]], [[8, [8, 21, 15]]], [[10, [10, 4]]], [[8, [12, 16]]], [[7, [7, 6]]], [[2, [2]]], [[11, [11]]], [[9, [9, 25]]], [[27, [27, 24]]], [[29, [29]]]]]",,None,1.7,3.6,,,122.169,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,1,4,408.0,"[[[[0, [4, 5, 3, 2, 1]], [5, []], [2, []], [3, []], [4, []], [7, [7, 6, 21]], [1, []], [11, [11, 10, 24]], [10, []], [9, [9, 27]], [21, []], [27, []], [6, []], [29, [29]], [24, []]], [[0, [13, 19, 26, 28, 18, 30, 16, 14, 17, 22, 15, 20]], [8, [8, 23, 12, 25]], [25, []], [13, []], [17, []], [15, []], [16, []], [14, []], [12, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [22, []], [20, []]]], [[[8, [23]]], [[8, [8, 12, 25]]], [[7, [7, 6, 21]]], [[11, [11]]], [[11, [10, 24]]], [[9, [9, 27]]], [[29, [29]]]]]",437.0,"[[[[0, [5, 1, 22, 30]], [5, []], [7, [7, 3, 4]], [3, []], [4, []], [1, []], [2, [2]], [11, [11]], [9, [9, 27]], [10, [10]], [21, [21]], [30, []], [27, []], [22, []]], [[0, [13, 19, 26, 28, 18, 16, 14]], [8, [8, 23, 15, 17]], [25, [25, 12, 6, 20]], [13, []], [17, []], [15, []], [16, []], [14, []], [12, []], [19, []], [18, []], [23, []], [26, []], [28, []], [6, []], [29, [29]], [24, [24]], [20, []]]], [[[7, [3]]], [[8, [8, 23, 15]]], [[8, [17]]], [[7, [7, 4]]], [[25, [25, 12, 6, 20]]], [[2, [2]]], [[11, [11]]], [[9, [9, 27]]], [[29, [29]]], [[10, [10]]], [[21, [21]], [24, [24]]]]]",1.857143,3.571429,1.727273,3.545455,145.85,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,1,5,408.0,"[[[[0, [28, 26, 18, 19, 30, 22, 15, 12, 14, 16, 23]], [22, []], [27, [27, 9]], [30, []], [28, []], [26, []], [23, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, []], [8, [8, 21, 20]], [21, []], [20, []]], [[0, [11, 1, 5, 3, 13]], [24, [24, 10]], [29, [29]], [6, [6, 17]], [17, []], [13, []], [25, [25]], [10, []], [11, []], [2, [2, 4, 7]], [1, []], [7, []], [3, []], [4, []], [5, []]]], [[[24, [24, 10]]], [[29, [29]]], [[6, [6, 17]]], [[27, [27, 9]]], [[8, [8, 21, 20]]], [[25, [25]]], [[2, [2]]], [[2, [4, 7]]]]]",,None,1.75,3.5,,,142.546,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,2,1,408.0,"[[[[0, [5, 2, 1]], [5, []], [2, []], [7, [7, 4, 3]], [3, []], [4, []], [1, []], [9, [9]], [11, [11, 6, 21, 10]], [10, []], [8, [8, 20]], [21, []], [6, []], [29, [29]], [20, []]], [[0, [19, 22, 14, 18, 13, 16, 23, 26, 28, 30, 17, 15, 24]], [22, [12, 25, 27]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [23, []], [26, []], [28, []], [30, []], [27, []], [24, []]]], [[[7, [3]]], [[22, [12, 25, 27]]], [[7, [7, 4]]], [[9, [9]]], [[11, [11]]], [[11, [6, 21, 10]]], [[8, [8, 20]]], [[29, [29]]]]]",,None,1.75,3.5,,,232.281,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,2,2,405.0,"[[[[0, [2, 1, 5]], [5, [3]], [4, [4, 10]], [3, []], [7, [7, 8]], [1, []], [2, []], [10, []], [11, [11, 9, 6, 20, 21]], [9, []], [8, []], [21, []], [6, []], [29, [29]], [20, []]], [[0, [28, 26, 18, 14, 16, 13, 22, 23, 30, 17, 12, 19, 27, 25, 24, 15]], [22, []], [30, []], [28, []], [26, []], [23, []], [18, []], [17, []], [19, []], [15, []], [16, []], [12, []], [14, []], [13, []], [25, []], [27, []], [24, []]]], [[[5, [3]]], [[4, [4, 10]]], [[7, [7, 8]]], [[11, [11]]], [[11, [6, 20, 21]]], [[11, [9]]], [[29, [29]]]]]",,None,1.571429,3.571429,,,196.368,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,2,3,408.0,"[[[[0, [18, 13, 19, 26, 28, 30, 10, 17, 20, 23, 22, 14]], [10, []], [9, [9, 12, 15, 16]], [13, []], [17, []], [16, []], [14, []], [12, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [22, []], [20, []]], [[0, [5, 2, 1]], [5, []], [4, [4, 7, 3]], [3, []], [7, []], [1, []], [2, []], [11, [11]], [25, [25, 27, 6, 21]], [27, []], [6, []], [29, [29, 24]], [24, []], [21, []], [8, [8]]]], [[[4, [3]]], [[4, [4, 7]]], [[11, [11]]], [[9, [15, 16]]], [[9, [9, 12]]], [[25, [25, 27, 6, 21]]], [[29, [29]]], [[29, [24]]], [[8, [8]]]]]",,None,1.666667,3.333333,,,217.902,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,2,4,414.0,"[[[[0, [29, 2, 1, 3, 5]], [24, [24, 10]], [21, [21, 6]], [6, []], [29, []], [25, [25, 7, 4]], [10, []], [11, [11]], [2, []], [1, []], [7, []], [3, []], [4, []], [5, []]], [[0, [28, 26, 23, 14, 13, 30, 18, 22, 9]], [20, [20, 17]], [22, []], [27, [27, 19]], [30, [15, 16, 12, 8]], [28, []], [26, []], [23, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [13, []], [9, []], [8, []]]], [[[24, [24, 10]]], [[21, [21, 6]]], [[20, [20, 17]]], [[27, [27, 19]]], [[30, [15, 16]]], [[30, [12, 8]]], [[25, [25, 7, 4]]], [[11, [11]]]]]",440.0,"[[[[0, [5]], [6, [6, 1, 10]], [27, [27, 20, 25]], [25, []], [10, []], [11, [11]], [2, [2]], [1, []], [7, [7, 3, 4]], [3, []], [4, []], [5, []], [20, []]], [[0, [26, 16, 14, 23, 28, 17, 15, 30, 18, 19, 22, 12, 8, 21, 13]], [24, [24]], [29, [29]], [30, []], [28, []], [26, []], [23, []], [18, []], [17, []], [19, []], [15, []], [16, []], [12, []], [14, []], [13, []], [9, [9]], [8, []], [21, []], [22, []]]], [[[6, [1]]], [[6, [6, 10]]], [[27, [27, 20, 25]], [24, [24]]], [[29, [29]]], [[9, [9]]], [[11, [11]]], [[2, [2]]], [[7, [3]]], [[7, [7, 4]]]]]",2.0,3.5,1.555556,3.777778,222.707,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,2,5,401.0,"[[[[0, [1, 5]], [24, [24, 10]], [29, [29]], [6, [6, 8]], [25, [25, 7, 4]], [10, []], [11, [11]], [2, [2, 3]], [1, []], [7, []], [3, []], [4, []], [5, []], [8, []]], [[0, [28, 26, 13, 30, 19, 22, 23, 17, 9, 18, 14, 16, 21, 27, 15, 12, 20]], [22, []], [27, []], [30, []], [28, []], [26, []], [23, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [13, []], [9, []], [21, []], [20, []]]], [[[24, [24, 10]]], [[29, [29]]], [[6, [6, 8]]], [[25, [25, 7, 4]]], [[11, [11]]], [[2, [2]]], [[2, [3]]]]]",,None,1.571429,3.857143,,,292.914,OK
