instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_sol_drone_trip_distances,best_sol_avg_distance_per_drone_trip,best_sol_truck_wait_by_point,best_sol_drone_wait_by_point,best_sol_avg_truck_wait_by_point,best_sol_avg_drone_wait_by_point,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,best_multi_visit_sol_drone_trip_distances,best_multi_visit_sol_avg_distance_per_drone_trip,best_multi_visit_sol_truck_wait_by_point,best_multi_visit_sol_drone_wait_by_point,best_multi_visit_sol_avg_truck_wait_by_point,best_multi_visit_sol_avg_drone_wait_by_point,runtime_sec,status
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,1,1,218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [2, 5, 1, 3]], [2, []], [1, []], [7, [7, 4]], [3, []], [4, []], [5, []]]], [[[7, [7, 4]]], [[6, [6]]]]]",,None,1.5,2.5,"[53.814496, 50.596443]",52.205469,"{7: 0.0, 6: 0.0}","{7: 64.092752, 6: 5.701779}",0.0,34.897265,,,[],,{},{},,,2.5,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,1,2,218.0,"[[[[0, [8, 10, 9]], [8, []], [10, []], [9, []], [6, [6]]], [[0, [1, 7, 3, 2, 5]], [2, []], [1, []], [7, []], [3, []], [4, [4]], [5, []]]], [[[4, [4]]], [[6, [6]]]]]",,None,1.0,1.0,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 85.387503, 6: 89.701779}",0.0,87.544641,,,[],,{},{},,,3.174,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,1,3,218.0,"[[[[0, [3, 2, 5, 1]], [4, [4, 7]], [3, []], [7, []], [1, []], [2, []], [5, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[4, [4, 7]]], [[6, [6]]]]]",,None,1.5,2.5,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 41.387503, 6: 5.701779}",0.0,23.544641,,,[],,{},{},,,2.415,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,1,4,218.0,"[[[[0, [8, 9, 10]], [8, []], [10, []], [9, [6]], [6, []]], [[0, [5, 2, 1, 7, 3, 4]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, []]]], [[[9, [6]]]]]",,None,1.0,1.0,[46.647615],46.647615,{9: 0.0},{9: 11.676192},0.0,11.676192,,,[],,{},{},,,2.153,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,1,5,218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [5, 2, 1, 7, 3, 4]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, []]]], [[[6, [6]]]]]",,None,1.0,1.0,[50.596443],50.596443,{6: 0.0},{6: 5.701779},0.0,5.701779,,,[],,{},{},,,1.967,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,2,1,218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [2, 1, 3, 7, 5]], [5, []], [4, [4]], [3, []], [7, []], [1, []], [2, []]]], [[[4, [4]]], [[6, [6]]]]]",,None,1.0,1.0,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 41.387503, 6: 5.701779}",0.0,23.544641,,,[],,{},{},,,4.562,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,2,2,218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [3, 1, 2, 5]], [4, [4, 7]], [3, []], [7, []], [1, []], [2, []], [5, []]]], [[[4, [4, 7]]], [[6, [6]]]]]",,None,1.5,2.5,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 41.387503, 6: 5.701779}",0.0,23.544641,,,[],,{},{},,,6.698,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,2,3,218.0,"[[[[0, [5, 2, 1, 3]], [5, []], [2, []], [1, []], [7, [7, 4]], [3, []], [4, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[7, [7, 4]]], [[6, [6]]]]]",,None,1.5,2.5,"[53.814496, 50.596443]",52.205469,"{7: 0.0, 6: 0.0}","{7: 64.092752, 6: 5.701779}",0.0,34.897265,,,[],,{},{},,,5.48,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,2,4,218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [5, 2, 1, 7, 3, 4]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, []]]], [[[6, [6]]]]]",,None,1.0,1.0,[50.596443],50.596443,{6: 0.0},{6: 5.701779},0.0,5.701779,,,[],,{},{},,,5.869,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,2,5,218.0,"[[[[0, [10, 9, 8]], [8, []], [10, []], [9, []], [6, [6]]], [[0, [1, 3, 5]], [5, []], [2, [2, 4, 7]], [1, []], [7, []], [3, []], [4, []]]], [[[2, [2]]], [[2, [4, 7]]], [[6, [6]]]]]",,None,1.333333,3.0,"[41.231056, 41.231056, 50.596443]",44.352852,"{2: 0.0, 6: 0.0}","{2: 63.768944, 6: 25.086251}",0.0,44.427597,,,[],,{},{},,,7.72,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,3,1,218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [3, 1, 2, 5]], [4, [4, 7]], [3, []], [7, []], [1, []], [2, []], [5, []]]], [[[6, [6]]], [[4, [4, 7]]]]]",,None,1.5,2.5,"[50.596443, 51.224994]",50.910718,"{6: 0.0, 4: 0.0}","{6: 5.701779, 4: 41.387503}",0.0,23.544641,,,[],,{},{},,,12.363,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,3,2,218.0,"[[[[0, [9, 10, 8]], [8, []], [10, []], [9, []], [6, [6]]], [[0, [1, 3, 5]], [5, []], [2, [2, 7, 4]], [1, []], [7, []], [3, []], [4, []]]], [[[2, [2]]], [[2, [7, 4]]], [[6, [6]]]]]",,None,1.333333,3.0,"[41.231056, 41.231056, 50.596443]",44.352852,"{2: 0.0, 6: 0.0}","{2: 63.768944, 6: 25.086251}",0.0,44.427597,,,[],,{},{},,,13.967,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,3,3,218.0,"[[[[0, [8, 9, 10]], [8, []], [10, []], [9, []], [6, [6]]], [[0, [1, 5, 3]], [2, [2, 4, 7]], [1, []], [7, []], [3, []], [4, []], [5, []]]], [[[2, [2]]], [[2, [4, 7]]], [[6, [6]]]]]",,None,1.333333,3.0,"[41.231056, 41.231056, 50.596443]",44.352852,"{2: 0.0, 6: 0.0}","{2: 63.768944, 6: 25.086251}",0.0,44.427597,,,[],,{},{},,,12.487,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,3,4,218.0,"[[[[0, [1, 3, 5]], [5, []], [2, [2, 7, 4]], [1, []], [7, []], [3, []], [4, []]], [[0, [10, 9, 8]], [8, []], [10, []], [9, []], [6, [6]]]], [[[2, [2]]], [[2, [7, 4]]], [[6, [6]]]]]",,None,1.333333,3.0,"[41.231056, 41.231056, 50.596443]",44.352852,"{2: 0.0, 6: 0.0}","{2: 63.768944, 6: 25.086251}",0.0,44.427597,,,[],,{},{},,,14.6,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,60,3,5,218.0,"[[[[0, [4, 3, 7, 1, 2, 5]], [4, []], [3, []], [7, []], [1, []], [2, []], [5, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[6, [6]]]]]",,None,1.0,1.0,[50.596443],50.596443,{6: 0.0},{6: 5.701779},0.0,5.701779,,,[],,{},{},,,12.535,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,1,1,218.0,"[[[[0, [8, 9, 10]], [8, []], [10, []], [9, [6]], [6, []]], [[0, [5, 2, 1, 7, 3, 4]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, []]]], [[[9, [6]]]]]",221.6124969497314,"[[[[0, [3, 1, 7, 5]], [4, [4]], [3, []], [7, []], [1, []], [2, [2]], [5, []]], [[0, [10, 8]], [6, [6, 9]], [9, []], [10, []], [8, []]]], [[[6, [9]]], [[6, [6]], [4, [4]]], [[2, [2]]]]]",1.0,1.0,[46.647615],46.647615,{9: 0.0},{9: 11.676192},0.0,11.676192,1.333333,3.333333,"[50.596443, 101.030575, 41.231056]",64.286024,"{6: 0.0, 4: 0.612497, 2: 0.0}","{6: 45.403557, 4: 0.0, 2: 50.698748}",0.204166,32.034102,4.287,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,1,2,218.0,"[[[[0, [10, 8, 9]], [8, []], [10, []], [9, []], [6, [6]]], [[0, [3, 7, 2, 5, 1]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, [4]]]], [[[4, [4]]], [[6, [6]]]]]",,None,1.0,1.0,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 85.387503, 6: 89.701779}",0.0,87.544641,,,[],,{},{},,,5.273,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,1,3,218.0,"[[[[0, [2, 1, 3]], [5, [5, 7, 4]], [2, []], [1, []], [7, []], [3, []], [4, []]], [[0, [8, 10, 9]], [8, []], [10, []], [9, []], [6, [6]]]], [[[5, [5]]], [[5, [7, 4]]], [[6, [6]]]]]",,None,1.333333,3.0,"[30.265492, 30.265492, 50.596443]",37.042475,"{5: 0.0, 6: 0.0}","{5: 48.734508, 6: 46.569033}",0.0,47.65177,,,[],,{},{},,,5.092,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,1,4,218.0,"[[[[0, [8, 9, 10]], [8, []], [10, []], [9, []], [6, [6]]], [[0, [1, 3, 5]], [5, []], [2, [2, 4, 7]], [1, []], [7, []], [3, []], [4, []]]], [[[2, [2]]], [[2, [4, 7]]], [[6, [6]]]]]",,None,1.333333,3.0,"[41.231056, 41.231056, 50.596443]",44.352852,"{2: 0.0, 6: 0.0}","{2: 63.768944, 6: 25.086251}",0.0,44.427597,,,[],,{},{},,,4.092,OK
