instance,drone_count,truck_count,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_sol_multi_visit_trip_count,best_multi_visit_fitness,best_multi_visit_sol,best_multi_visit_sol_multi_visit_trip_count,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_sol_drone_trip_distances,best_sol_avg_distance_per_drone_trip,best_sol_truck_wait_by_point,best_sol_drone_wait_by_point,best_sol_avg_truck_wait_by_point,best_sol_avg_drone_wait_by_point,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,best_multi_visit_sol_drone_trip_distances,best_multi_visit_sol_avg_distance_per_drone_trip,best_multi_visit_sol_truck_wait_by_point,best_multi_visit_sol_drone_wait_by_point,best_multi_visit_sol_avg_truck_wait_by_point,best_multi_visit_sol_avg_drone_wait_by_point,runtime_sec,status
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,60,1,1,760.0,"[[[[0, [36, 46, 54, 64, 66, 76, 84, 94, 100, 98, 96, 92, 90, 88, 86, 82, 80, 78, 74, 72, 70, 68, 62, 60, 58, 56, 52, 50, 48, 44, 42, 40, 38, 34, 28, 26, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 24, 30, 32, 2]], [24, []], [30, []], [36, []], [46, []], [54, []], [64, []], [66, []], [76, []], [84, []], [94, []], [100, []], [98, []], [96, []], [92, []], [90, []], [88, []], [86, []], [82, []], [80, []], [78, []], [74, []], [72, []], [70, []], [68, []], [62, []], [60, []], [58, []], [56, []], [52, []], [50, []], [48, []], [44, []], [42, []], [40, []], [38, []], [34, []], [32, []], [28, []], [26, []], [22, []], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []], [2, []]], [[0, [7, 11, 19, 21, 27, 29, 33, 43, 55, 59, 67, 69, 71, 73, 77, 83, 91, 95, 97, 99, 93, 89, 87, 85, 81, 79, 75, 63, 57, 53, 51, 49, 47, 45, 41, 39, 37, 35, 31, 25, 23, 17, 15, 13, 9, 3, 5, 61, 65, 1]], [1, []], [5, []], [7, []], [11, []], [19, []], [21, []], [27, []], [29, []], [33, []], [43, []], [55, []], [59, []], [61, []], [67, []], [69, []], [71, []], [73, []], [77, []], [83, []], [91, []], [95, []], [97, []], [99, []], [93, []], [89, []], [87, []], [85, []], [81, []], [79, []], [75, []], [65, []], [63, []], [57, []], [53, []], [51, []], [49, []], [47, []], [45, []], [41, []], [39, []], [37, []], [35, []], [31, []], [25, []], [23, []], [17, []], [15, []], [13, []], [9, []], [3, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,6324.303,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,60,1,2,760.0,"[[[[0, [30, 36, 44, 56, 64, 68, 82, 96, 98, 94, 92, 90, 88, 86, 84, 80, 78, 76, 74, 72, 70, 66, 62, 60, 58, 54, 52, 50, 48, 46, 42, 40, 38, 34, 32, 28, 26, 18, 2, 20, 4, 8, 10, 6, 12, 14, 16, 100, 24, 22]], [24, []], [30, []], [36, []], [44, []], [56, []], [64, []], [68, []], [82, []], [96, []], [98, []], [100, []], [94, []], [92, []], [90, []], [88, []], [86, []], [84, []], [80, []], [78, []], [76, []], [74, []], [72, []], [70, []], [66, []], [62, []], [60, []], [58, []], [54, []], [52, []], [50, []], [48, []], [46, []], [42, []], [40, []], [38, []], [34, []], [32, []], [28, []], [26, []], [22, []], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []], [2, []]], [[0, [23, 29, 33, 51, 55, 59, 61, 65, 79, 81, 95, 97, 99, 93, 91, 89, 87, 85, 83, 77, 75, 73, 71, 69, 67, 63, 57, 53, 49, 47, 43, 39, 37, 35, 31, 27, 25, 17, 15, 13, 11, 9, 7, 3, 5, 1, 45, 41, 21, 19]], [5, []], [23, []], [29, []], [33, []], [45, []], [51, []], [55, []], [59, []], [61, []], [65, []], [79, []], [81, []], [95, []], [97, []], [99, []], [93, []], [91, []], [89, []], [87, []], [85, []], [83, []], [77, []], [75, []], [73, []], [71, []], [69, []], [67, []], [63, []], [57, []], [53, []], [49, []], [47, []], [43, []], [41, []], [39, []], [37, []], [35, []], [31, []], [27, []], [25, []], [21, []], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [3, []], [1, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,6540.022,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,60,1,3,760.0,"[[[[0, [11, 13, 23, 31, 35, 45, 55, 61, 67, 77, 79, 81, 85, 87, 89, 91, 93, 99, 97, 95, 83, 75, 73, 71, 69, 65, 63, 59, 57, 53, 51, 49, 47, 43, 41, 39, 37, 33, 29, 27, 25, 21, 19, 17, 15, 9, 7, 3, 1, 5]], [1, []], [11, []], [13, []], [23, []], [31, []], [35, []], [45, []], [55, []], [61, []], [67, []], [77, []], [79, []], [81, []], [85, []], [87, []], [89, []], [91, []], [93, []], [99, []], [97, []], [95, []], [83, []], [75, []], [73, []], [71, []], [69, []], [65, []], [63, []], [59, []], [57, []], [53, []], [51, []], [49, []], [47, []], [43, []], [41, []], [39, []], [37, []], [33, []], [29, []], [27, []], [25, []], [21, []], [19, []], [17, []], [15, []], [9, []], [7, []], [5, []], [3, []]], [[0, [24, 30, 36, 44, 54, 64, 68, 82, 96, 100, 98, 94, 92, 90, 88, 86, 84, 80, 78, 76, 74, 72, 70, 66, 62, 60, 58, 56, 52, 50, 48, 46, 42, 40, 38, 34, 32, 28, 26, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 2]], [2, []], [24, []], [30, []], [36, []], [44, []], [54, []], [64, []], [68, []], [82, []], [96, []], [100, []], [98, []], [94, []], [92, []], [90, []], [88, []], [86, []], [84, []], [80, []], [78, []], [76, []], [74, []], [72, []], [70, []], [66, []], [62, []], [60, []], [58, []], [56, []], [52, []], [50, []], [48, []], [46, []], [42, []], [40, []], [38, []], [34, []], [32, []], [28, []], [26, []], [22, []], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,6793.424,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,60,2,1,760.0,"[[[[0, [45, 47, 49, 61, 65, 81, 87, 95, 99, 97, 93, 91, 89, 85, 83, 79, 77, 75, 73, 71, 69, 67, 63, 59, 57, 55, 51, 43, 41, 39, 37, 35, 15, 13, 5, 11, 25, 29, 31, 27, 53, 33, 21, 7, 1, 9, 23, 3, 17, 19]], [1, []], [17, []], [23, []], [29, []], [33, []], [45, []], [47, []], [49, []], [53, []], [61, []], [65, []], [81, []], [87, []], [95, []], [99, []], [97, []], [93, []], [91, []], [89, []], [85, []], [83, []], [79, []], [77, []], [75, []], [73, []], [71, []], [69, []], [67, []], [63, []], [59, []], [57, []], [55, []], [51, []], [43, []], [41, []], [39, []], [37, []], [35, []], [31, []], [27, []], [25, []], [21, []], [19, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [3, []]], [[0, [24, 32, 34, 54, 58, 62, 68, 70, 74, 76, 84, 96, 98, 100, 94, 92, 90, 88, 86, 82, 80, 78, 72, 66, 64, 60, 56, 40, 38, 36, 30, 28, 26, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 52, 44, 50, 48, 2, 42, 46]], [24, []], [32, []], [34, []], [42, []], [44, []], [54, []], [58, []], [62, []], [68, []], [70, []], [74, []], [76, []], [84, []], [96, []], [98, []], [100, []], [94, []], [92, []], [90, []], [88, []], [86, []], [82, []], [80, []], [78, []], [72, []], [66, []], [64, []], [60, []], [56, []], [52, []], [50, []], [48, []], [46, []], [40, []], [38, []], [36, []], [30, []], [28, []], [26, []], [22, []], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []], [2, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,10143.113,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,60,2,2,760.0,"[[[[0, [5, 7, 13, 15, 17, 23, 27, 29, 35, 37, 43, 53, 61, 67, 81, 91, 95, 97, 99, 93, 89, 87, 85, 83, 79, 77, 75, 73, 71, 69, 65, 63, 59, 57, 55, 51, 49, 47, 45, 41, 39, 33, 31, 25, 21, 19, 11, 9, 3, 1]], [1, []], [5, []], [7, []], [13, []], [15, []], [17, []], [23, []], [27, []], [29, []], [35, []], [37, []], [43, []], [53, []], [61, []], [67, []], [81, []], [91, []], [95, []], [97, []], [99, []], [93, []], [89, []], [87, []], [85, []], [83, []], [79, []], [77, []], [75, []], [73, []], [71, []], [69, []], [65, []], [63, []], [59, []], [57, []], [55, []], [51, []], [49, []], [47, []], [45, []], [41, []], [39, []], [33, []], [31, []], [25, []], [21, []], [19, []], [11, []], [9, []], [3, []]], [[0, [10, 12, 20, 22, 26, 34, 44, 56, 62, 66, 84, 88, 96, 100, 98, 94, 92, 90, 86, 82, 80, 78, 76, 74, 72, 70, 68, 64, 60, 58, 54, 52, 50, 48, 46, 42, 40, 38, 36, 32, 28, 24, 18, 16, 14, 8, 6, 4, 2, 30]], [2, []], [10, []], [12, []], [20, []], [22, []], [26, []], [30, []], [34, []], [44, []], [56, []], [62, []], [66, []], [84, []], [88, []], [96, []], [100, []], [98, []], [94, []], [92, []], [90, []], [86, []], [82, []], [80, []], [78, []], [76, []], [74, []], [72, []], [70, []], [68, []], [64, []], [60, []], [58, []], [54, []], [52, []], [50, []], [48, []], [46, []], [42, []], [40, []], [38, []], [36, []], [32, []], [28, []], [24, []], [18, []], [16, []], [14, []], [8, []], [6, []], [4, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,14092.16,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,60,2,3,760.0,"[[[[0, [23, 91, 89, 87, 85, 79, 77, 75, 73, 71, 69, 57, 51, 49, 47, 41, 27, 25, 21, 19, 17, 15, 29, 31, 33, 35, 37, 39, 43, 45, 59, 53, 55, 63, 61, 65, 67, 83, 81, 99, 93, 97, 95, 7, 3, 13, 11, 9, 5, 1]], [3, []], [7, []], [13, []], [23, []], [29, []], [33, []], [43, []], [53, []], [63, []], [65, []], [83, []], [95, []], [99, []], [97, []], [93, []], [91, []], [89, []], [87, []], [85, []], [81, []], [79, []], [77, []], [75, []], [73, []], [71, []], [69, []], [67, []], [61, []], [59, []], [57, []], [55, []], [51, []], [49, []], [47, []], [45, []], [41, []], [39, []], [37, []], [35, []], [31, []], [27, []], [25, []], [21, []], [19, []], [17, []], [15, []], [11, []], [9, []], [5, []], [1, []]], [[0, [32, 36, 46, 56, 64, 66, 70, 76, 80, 84, 86, 96, 100, 98, 94, 92, 90, 88, 82, 78, 74, 68, 62, 60, 58, 54, 52, 50, 48, 44, 42, 40, 38, 34, 30, 28, 26, 4, 20, 18, 24, 22, 72, 2, 14, 10, 6, 8, 12, 16]], [2, []], [4, []], [8, []], [12, []], [24, []], [32, []], [36, []], [46, []], [56, []], [64, []], [66, []], [70, []], [72, []], [76, []], [80, []], [84, []], [86, []], [96, []], [100, []], [98, []], [94, []], [92, []], [90, []], [88, []], [82, []], [78, []], [74, []], [68, []], [62, []], [60, []], [58, []], [54, []], [52, []], [50, []], [48, []], [44, []], [42, []], [40, []], [38, []], [34, []], [30, []], [28, []], [26, []], [22, []], [20, []], [18, []], [16, []], [14, []], [10, []], [6, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,11322.805,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,90,1,1,765.0,"[[[[0, [91, 95, 97, 99, 93, 75, 73, 71, 69, 59, 57, 55, 51, 49, 47, 43, 45, 41, 39, 37, 35, 33, 25, 17, 15, 13, 11, 9, 63, 61, 67, 65, 27, 29, 31, 77, 79, 83, 81, 21, 19, 85, 87, 89, 53, 7, 23]], [23, []], [53, []], [63, []], [67, []], [83, []], [85, []], [87, []], [91, []], [95, []], [97, []], [99, []], [93, []], [89, []], [81, []], [79, []], [77, []], [75, []], [73, []], [71, []], [69, []], [65, []], [61, []], [59, []], [57, []], [55, []], [51, []], [49, []], [47, []], [43, []], [45, []], [41, []], [39, []], [37, []], [35, []], [33, []], [29, []], [31, []], [27, []], [25, []], [21, []], [19, []], [17, [5, 3, 1]], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [3, []], [1, []]], [[0, [54, 66, 84, 86, 96, 98, 100, 94, 92, 90, 88, 82, 72, 70, 68, 62, 60, 58, 56, 46, 44, 42, 40, 38, 36, 34, 30, 32, 28, 26, 22, 20, 24, 18, 16, 14, 80, 74, 78, 76]], [12, [12, 8, 6, 4, 64, 52, 50, 48]], [52, []], [54, []], [64, []], [66, []], [74, []], [84, []], [86, []], [96, []], [98, []], [100, []], [94, []], [92, []], [90, []], [88, []], [82, []], [80, []], [78, []], [76, []], [72, []], [70, []], [68, []], [62, []], [60, []], [58, []], [56, []], [50, []], [48, []], [46, []], [44, []], [42, []], [40, []], [38, []], [36, []], [34, []], [30, []], [32, []], [28, []], [26, []], [22, []], [20, []], [24, []], [18, []], [16, []], [14, []], [10, [10, 2]], [8, []], [6, []], [4, []], [2, []]]], [[[12, [64, 52, 50, 48]]], [[12, [12, 8, 6, 4]]], [[17, [5, 3, 1]]], [[10, [10, 2]]]]]",0,875.0,"[[[[0, [75, 73, 71, 69, 59, 57, 51, 49, 47, 41, 39, 37, 31, 77, 32, 26, 24, 28, 29, 79, 25, 23, 27, 55, 53, 61, 63, 65, 67, 83, 81, 93, 95, 89, 87, 85, 33, 35, 97, 99, 30, 45, 43, 91]], [23, []], [25, []], [27, []], [29, []], [33, []], [45, []], [55, []], [61, []], [65, []], [83, []], [91, []], [93, []], [97, []], [99, []], [95, []], [89, []], [87, []], [85, []], [81, []], [79, []], [77, []], [75, []], [73, []], [71, []], [69, []], [67, []], [63, []], [59, []], [57, []], [53, []], [51, []], [49, []], [47, []], [43, []], [41, []], [39, []], [37, []], [35, []], [31, []], [32, []], [30, []], [28, []], [26, []], [24, []], [12, [12, 8, 10, 6]], [8, []], [10, []], [6, []], [13, [13, 11, 17, 15]], [11, []], [17, []], [15, []], [2, [2, 4]], [4, []]], [[0, [84, 86, 92, 90, 88, 82, 72, 70, 68, 62, 60, 58, 56, 46, 44, 42, 40, 38, 36, 34, 80, 74, 78, 76, 52, 54, 64, 48, 96, 94, 98, 100, 22]], [16, [16, 66, 50, 21, 19, 9, 7, 20]], [52, []], [54, []], [64, []], [66, []], [74, []], [84, []], [86, []], [94, []], [96, []], [98, []], [100, []], [92, []], [90, []], [88, []], [82, []], [80, []], [78, []], [76, []], [72, []], [70, []], [68, []], [62, []], [60, []], [58, []], [56, []], [50, []], [48, []], [46, []], [44, []], [42, []], [40, []], [38, []], [36, []], [34, []], [14, [14, 18, 5, 3]], [18, []], [20, []], [22, []], [19, []], [21, []], [9, []], [7, []], [5, []], [3, []], [1, [1]]]], [[[16, [16, 66, 50, 20]]], [[16, [21, 19, 9, 7]]], [[14, [14, 18, 5, 3]]], [[12, [12, 8, 10, 6]]], [[13, [13, 11, 17, 15]]], [[2, [2, 4]], [1, [1]]]]]",1,3.25,3.25,"[74.966659, 74.966659, 83.952367, 70.710678]",76.149091,"{12: 0.0, 17: 0.0, 10: 0.0}","{12: 145.033341, 17: 313.540487, 10: 337.161331}",0.0,265.245053,3.833333,3.833333,"[79.624117, 79.624117, 75.312682, 74.966659, 75.312682, 66.299254]",75.189918,"{16: 0.0, 14: 0.0, 12: 0.0, 13: 0.0, 1: 0.0, 2: 0.0}","{16: 68.375883, 14: 312.531601, 12: 349.704612, 13: 3.687318, 1: 1.367044, 2: 4.850373}",0.0,123.419472,6774.055,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,90,1,2,762.0,"[[[[0, [81, 83, 69, 59, 57, 51, 49, 47, 41, 39, 37, 33, 31, 27, 25, 17, 15, 13, 53, 55, 95, 93, 87, 21, 19, 63, 61, 89, 45, 43, 99, 67, 65, 71, 73, 97, 75, 79, 77, 91, 85, 23, 9, 7, 35, 29]], [23, []], [29, []], [35, []], [45, []], [53, []], [63, []], [67, []], [79, []], [81, []], [85, []], [91, []], [95, []], [99, []], [97, []], [93, []], [89, []], [87, []], [83, []], [77, []], [75, []], [73, []], [71, []], [69, []], [65, []], [61, []], [59, []], [57, []], [55, []], [51, []], [49, []], [47, []], [43, []], [41, []], [39, []], [37, []], [33, []], [31, []], [27, []], [25, []], [21, []], [19, []], [17, []], [15, []], [13, []], [11, [11, 3, 1, 5]], [5, []], [9, []], [7, []], [3, []], [1, []]], [[0, [56, 62, 68, 80, 84, 92, 90, 88, 86, 82, 78, 70, 66, 64, 60, 58, 54, 50, 48, 46, 44, 42, 40, 38, 36, 34, 30, 32, 28, 26, 22, 20, 24, 18, 16, 14, 96, 98, 100, 94, 76, 72, 74]], [12, [12, 52, 4]], [52, []], [56, []], [62, []], [68, []], [72, []], [74, []], [80, []], [84, []], [92, []], [96, []], [98, []], [100, []], [94, []], [90, []], [88, []], [86, []], [82, []], [78, []], [76, []], [70, []], [66, []], [64, []], [60, []], [58, []], [54, []], [50, []], [48, []], [46, []], [44, []], [42, []], [40, []], [38, []], [36, []], [34, []], [30, []], [32, []], [28, []], [26, []], [22, []], [20, []], [24, []], [18, []], [16, []], [14, []], [10, [10, 8, 6, 2]], [8, []], [6, []], [4, []], [2, []]]], [[[11, [11, 3, 1, 5]]], [[12, [12, 52, 4]]], [[10, [10, 8, 6, 2]]]]]",0,850.0,"[[[[0, [37, 27, 25, 21, 23, 87, 89, 31, 29, 33, 35, 83, 81, 71, 69, 85, 43, 45, 55, 53, 91, 61, 63, 65, 67, 57, 59, 79, 77, 75, 73, 95, 41, 93, 97, 99, 47]], [1, [1, 51, 49, 39]], [11, [11, 17, 19, 13]], [17, []], [23, []], [31, []], [33, []], [41, []], [43, []], [47, []], [55, []], [57, []], [61, []], [65, []], [83, []], [87, []], [89, []], [95, []], [97, []], [99, []], [93, []], [91, []], [85, []], [81, []], [79, []], [77, []], [75, []], [73, []], [71, []], [69, []], [67, []], [63, []], [59, []], [53, []], [51, []], [49, []], [45, []], [39, []], [37, []], [35, []], [29, []], [27, []], [25, []], [21, []], [19, []], [15, [15, 18, 20, 4, 2, 14, 8, 10]], [13, []], [18, []], [20, []], [14, []], [8, []], [6, [6, 16]], [10, []], [16, []], [4, []], [2, []]], [[0, [30, 28, 26, 32, 24, 22, 56, 44, 42, 40, 46, 48, 50, 72, 76, 80, 84, 86, 92, 96, 100, 98, 94, 90, 36, 88, 82, 78, 74, 68, 70, 64, 66, 34, 58, 62, 52, 60, 54, 38]], [22, []], [26, []], [28, []], [30, []], [36, []], [38, []], [52, []], [54, []], [56, []], [44, []], [42, []], [40, []], [46, []], [48, []], [50, []], [60, []], [58, []], [62, []], [64, []], [66, []], [68, []], [70, []], [74, []], [72, []], [76, []], [78, []], [80, []], [84, []], [86, []], [92, []], [96, []], [100, []], [98, []], [94, []], [90, []], [88, []], [82, []], [34, []], [32, []], [24, []], [12, [12, 9, 5]], [9, []], [5, []], [7, [7, 3]], [3, []]]], [[[1, [1, 51, 49, 39]]], [[11, [11, 17, 19, 13]]], [[15, [18, 14, 8, 10]]], [[15, [15, 20, 4, 2]]], [[12, [12, 9, 5]]], [[6, [6, 16]], [7, [7, 3]]]]]",1,3.666667,3.666667,"[74.966659, 74.966659, 70.710678]",73.547999,"{11: 0.0, 12: 0.0, 10: 0.0}","{11: 424.51667, 12: 28.51667, 10: 337.161331}",0.0,263.398224,3.833333,3.833333,"[60.299254, 74.966659, 79.624117, 79.624117, 74.966659, 77.600166]",74.513495,"{1: 4.149627, 11: 0.0, 15: 0.0, 12: 0.0, 6: 0.0, 7: 0.0}","{1: 0.0, 11: 37.666297, 15: 637.742927, 12: 7.554985, 6: 7.953456, 7: 0.484693}",0.691604,115.233726,6708.871,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,90,1,3,753.0,"[[[[0, [95, 93, 59, 57, 51, 49, 47, 17, 15, 13, 37, 39, 41, 97, 11, 43, 45, 99, 91, 53, 55, 27, 61, 63, 9, 65, 67, 81, 83, 87, 21, 25, 23, 19, 85, 79, 77, 75, 73, 29, 31, 69, 71, 35, 33, 89]], [23, []], [29, []], [35, []], [43, []], [53, []], [61, []], [65, []], [73, []], [81, []], [91, []], [95, []], [97, []], [99, []], [93, []], [89, []], [87, []], [85, []], [83, []], [79, []], [77, []], [75, []], [71, []], [69, []], [67, []], [63, []], [59, []], [57, []], [55, []], [51, []], [49, []], [47, []], [45, []], [41, []], [39, []], [37, []], [33, []], [31, []], [27, []], [25, []], [21, []], [19, []], [17, [7, 5, 1, 3]], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [1, []], [3, []]], [[0, [66, 80, 84, 92, 90, 88, 86, 82, 78, 70, 68, 58, 56, 52, 50, 48, 46, 44, 42, 40, 38, 36, 34, 30, 32, 28, 26, 74, 72, 76, 62, 60, 64, 54, 100, 94, 96, 98]], [16, [16, 10, 12, 20, 24, 22, 6, 4]], [20, []], [22, []], [54, []], [62, []], [66, []], [72, []], [80, []], [84, []], [92, []], [96, []], [98, []], [100, []], [94, []], [90, []], [88, []], [86, []], [82, []], [78, []], [76, []], [74, []], [70, []], [68, []], [60, []], [64, []], [58, []], [56, []], [52, []], [50, []], [48, []], [46, []], [44, []], [42, []], [40, []], [38, []], [36, []], [34, []], [30, []], [32, []], [28, []], [26, []], [24, []], [18, [18, 14, 8, 2]], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []], [2, []]]], [[[16, [16, 10, 20, 22]]], [[16, [12, 24, 6, 4]]], [[18, [18, 14, 8, 2]]], [[17, [7, 5, 1, 3]]]]]",0,,None,,4.0,4.0,"[79.624117, 79.624117, 83.952367, 83.952367]",81.788242,"{16: 0.0, 18: 0.0, 17: 0.0}","{16: 32.375883, 18: 304.211758, 17: 311.211758}",0.0,215.933133,,,[],,{},{},,,7195.249,OK
test_data/special_data/symmetric_patch_multivisit_30_100/100/SYM100_patch_mv_30_100_1.dat,2,2,4,90,2,1,765.0,"[[[[0, [55, 63, 65, 79, 83, 87, 95, 99, 97, 93, 91, 89, 85, 81, 71, 69, 67, 61, 59, 57, 53, 51, 49, 47, 45, 43, 41, 39, 37, 33, 35, 29, 27, 31, 25, 21, 19, 23, 17, 15, 13, 11, 9, 75, 77, 73]], [55, []], [63, []], [65, []], [75, []], [77, []], [79, []], [83, []], [87, []], [95, []], [99, []], [97, []], [93, []], [91, []], [89, []], [85, []], [81, []], [73, []], [71, []], [69, []], [67, []], [61, []], [59, []], [57, []], [53, []], [51, []], [49, []], [47, []], [45, []], [43, []], [41, []], [39, []], [37, []], [33, []], [35, []], [29, []], [27, []], [31, []], [25, []], [21, []], [19, []], [23, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, [7, 5, 3, 1]], [5, []], [3, []], [1, []]], [[0, [56, 60, 62, 66, 76, 84, 92, 96, 98, 100, 94, 90, 88, 86, 82, 80, 78, 74, 72, 70, 68, 64, 58, 54, 52, 50, 48, 46, 44, 42, 40, 38, 34, 36, 30, 32, 28, 26, 22, 20, 24, 18, 16, 14, 12, 10]], [56, []], [60, []], [62, []], [66, []], [76, []], [84, []], [92, []], [96, []], [98, []], [100, []], [94, []], [90, []], [88, []], [86, []], [82, []], [80, []], [78, []], [74, []], [72, []], [70, []], [68, []], [64, []], [58, []], [54, []], [52, []], [50, []], [48, []], [46, []], [44, []], [42, []], [40, []], [38, []], [34, []], [36, []], [30, []], [32, []], [28, []], [26, []], [22, []], [20, []], [24, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, [8, 6, 4, 2]], [6, []], [4, []], [2, []]]], [[[8, [8, 6, 4, 2]]], [[7, [7, 5, 3, 1]]]]]",0,930.0,"[[[[0, [79, 83, 85, 91, 89, 87, 77, 71, 81, 75, 73, 95, 97, 99, 93, 25, 27, 61, 65, 69, 67, 63, 33, 59, 35, 57, 37, 53, 55, 30, 24, 49, 51, 47, 26, 43, 45, 32, 28, 41, 39, 23, 31, 21, 19, 29]], [23, []], [21, []], [19, []], [33, []], [41, []], [39, []], [27, []], [25, []], [29, []], [31, []], [35, []], [37, []], [45, []], [43, []], [47, []], [49, []], [51, []], [55, []], [53, []], [57, []], [59, []], [63, []], [61, []], [65, []], [69, []], [77, []], [79, []], [83, []], [85, []], [91, []], [95, []], [97, []], [99, []], [93, []], [89, []], [87, []], [81, []], [75, []], [73, []], [71, []], [67, []], [32, []], [28, []], [30, []], [26, []], [24, []], [6, [6, 18, 14]], [18, []], [14, []], [4, [4, 2]], [2, []]], [[0, [82, 80, 78, 52, 50, 48, 44, 42, 40, 38, 76, 74, 72, 70, 68, 64, 62, 58, 60, 54, 66, 84, 36, 88, 98, 94, 100, 96, 34, 92, 90]], [13, [13, 46, 56, 86, 20, 22, 12, 10]], [20, []], [34, []], [46, []], [56, []], [58, []], [64, []], [66, []], [84, []], [92, []], [94, []], [98, []], [100, []], [96, []], [90, []], [88, []], [86, []], [82, []], [80, []], [78, []], [76, []], [74, []], [72, []], [70, []], [68, []], [62, []], [60, []], [54, []], [52, []], [50, []], [48, []], [44, []], [42, []], [40, []], [38, []], [36, []], [22, []], [12, []], [10, []], [16, [16, 11, 15, 8]], [11, []], [15, []], [17, [17, 5, 7, 9]], [8, []], [5, []], [7, []], [9, []], [3, [3, 1]], [1, []]]], [[[13, [20, 22, 12, 10]]], [[13, [13, 46, 56, 86]]], [[16, [16, 11, 15, 8]]], [[17, [17, 5, 7, 9]]], [[6, [6, 18, 14]]], [[4, [4, 2]], [3, [3, 1]]]]]",1,4.0,4.0,"[68.731361, 68.731361]",68.731361,"{8: 0.0, 7: 0.0}","{8: 447.634319, 7: 447.634319}",0.0,447.634319,3.833333,3.833333,"[75.312682, 75.312682, 79.624117, 83.952367, 68.468971, 68.530984]",75.2003,"{13: 0.0, 16: 0.0, 17: 0.0, 6: 0.0, 3: 0.0, 4: 0.0}","{13: 12.687318, 16: 356.531601, 17: 405.367476, 6: 53.953456, 3: 3.758324, 4: 26.734508}",0.0,143.172114,12731.779,OK
