instance,drone_count,truck_count,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_sol_multi_visit_trip_count,best_multi_visit_fitness,best_multi_visit_sol,best_multi_visit_sol_multi_visit_trip_count,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_sol_drone_trip_distances,best_sol_avg_distance_per_drone_trip,best_sol_truck_wait_by_point,best_sol_drone_wait_by_point,best_sol_avg_truck_wait_by_point,best_sol_avg_drone_wait_by_point,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,best_multi_visit_sol_drone_trip_distances,best_multi_visit_sol_avg_distance_per_drone_trip,best_multi_visit_sol_truck_wait_by_point,best_multi_visit_sol_drone_wait_by_point,best_multi_visit_sol_avg_truck_wait_by_point,best_multi_visit_sol_avg_drone_wait_by_point,runtime_sec,status
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,60,1,1,704.0,"[[[[0, [19, 17, 15, 13, 11, 9, 7, 5, 3, 1]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [3, []], [1, []]], [[0, [20, 18, 16, 14, 12, 10, 8, 6, 4, 2]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []], [2, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,9.022,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,60,1,2,704.0,"[[[[0, [3, 1, 11, 9, 7, 5, 15, 19, 17, 13]], [1, []], [3, []], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []]], [[0, [10, 12, 14, 16, 18, 8, 6, 20, 4, 2]], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []], [4, []], [2, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,10.564,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,60,1,3,704.0,"[[[[0, [19, 17, 15, 13, 11, 9, 7, 5, 3, 1]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [3, []], [1, []]], [[0, [20, 18, 16, 14, 12, 10, 8, 6, 4, 2]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []], [2, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,9.175,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,60,2,1,704.0,"[[[[0, [15, 13, 11, 9, 7, 5, 19, 17, 1, 3]], [3, []], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [1, []]], [[0, [14, 16, 12, 10, 18, 20, 2, 8, 6, 4]], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []], [4, []], [2, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,19.874,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,60,2,2,704.0,"[[[[0, [19, 17, 15, 13, 11, 9, 7, 5, 3, 1]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [3, []], [1, []]], [[0, [20, 18, 16, 14, 12, 10, 8, 6, 4, 2]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []], [2, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,17.963,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,60,2,3,704.0,"[[[[0, [19, 17, 15, 13, 11, 9, 7, 5, 3, 1]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [3, []], [1, []]], [[0, [20, 18, 16, 14, 12, 10, 8, 6, 4, 2]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, []], [2, []]]], []]",0,,None,,,,[],,{},{},,,,,[],,{},{},,,17.881,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,90,1,1,652.2937654087771,"[[[[0, [19, 17, 15, 11, 9, 7, 13]], [3, [3, 1, 5]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [1, []]], [[0, [20, 16, 14, 12, 10, 8, 18]], [4, [4, 6, 2]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [2, []]]], [[[4, [4, 6, 2]]], [[3, [3, 1, 5]]]]]",0,,None,,3.0,3.0,"[78.587531, 78.587531]",78.587531,"{4: 3.293765, 3: 3.293765}","{4: 0.0, 3: 0.0}",3.293765,0.0,,,[],,{},{},,,16.138,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,90,1,2,652.2937654087771,"[[[[0, [12, 10, 20, 18, 16, 14]], [4, [4, 8, 6]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [2, [2]]], [[0, [17, 15, 13, 11, 19, 9, 7]], [3, [5, 1, 3]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [1, []]]], [[[3, [5, 1, 3]]], [[4, [4, 8, 6]]], [[2, [2]]]]]",0,,None,,2.333333,2.333333,"[78.587531, 78.587531, 65.115282]",74.096781,"{3: 3.293765, 4: 3.293765, 2: 0.0}","{3: 0.0, 4: 0.0, 2: 260.148593}",2.195844,86.716198,,,[],,{},{},,,22.966,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,90,1,3,669.0,"[[[[0, [19, 17, 15, 13, 11, 9, 7]], [3, [3, 5, 1]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [1, []]], [[0, [20, 18, 16, 14, 12, 10, 8, 6]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [4, [4, 2]], [2, []]]], [[[4, [4, 2]]], [[3, [3, 5, 1]]]]]",0,,None,,2.5,2.5,"[78.587531, 78.587531]",78.587531,"{4: 0.0, 3: 3.293765}","{4: 328.706235, 3: 0.0}",1.646883,164.353117,,,[],,{},{},,,21.746,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,90,2,1,629.0,"[[[[0, [20, 16, 14, 18, 19, 17, 13, 15]], [13, []], [15, []], [17, []], [19, []], [20, []], [18, []], [16, []], [14, []], [2, [2]]], [[0, [12, 10, 11]], [4, [4, 6, 5, 8, 3, 9, 7]], [6, []], [8, []], [10, []], [12, []], [11, []], [9, []], [7, []], [5, []], [3, []], [1, [1]]]], [[[4, [5, 8, 3, 9]]], [[4, [4, 6, 7]]], [[2, [2]]], [[1, [1]]]]]",0,,None,,2.25,2.25,"[78.587531, 78.587531, 65.115282, 65.115282]",71.851407,"{4: 6.587531, 2: 0.0, 1: 0.0}","{4: 0.0, 2: 251.854828, 1: 236.148593}",2.195844,162.667807,,,[],,{},{},,,65.972,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,90,2,2,652.2937654087771,"[[[[0, [14, 20, 18, 16]], [4, [4, 8, 6, 10, 12]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, []], [6, []], [2, [2]]], [[0, [19, 17, 15, 13, 11, 9, 7]], [3, [3, 5, 1]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [7, []], [5, []], [1, []]]], [[[4, [12]]], [[3, [3, 5, 1]]], [[4, [4, 8, 6, 10]]], [[2, [2]]]]]",0,,None,,2.25,2.25,"[78.587531, 78.587531, 78.587531, 65.115282]",75.219469,"{4: 170.175062, 3: 3.293765, 2: 0.0}","{4: 0.0, 3: 0.0, 2: 260.148593}",57.822942,86.716198,,,[],,{},{},,,75.946,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,90,2,3,637.2937654087771,"[[[[0, [16, 18, 12, 14, 20]], [4, [4, 6, 8, 10]], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []], [2, [2]]], [[0, [13, 15, 17, 19, 11]], [3, [3, 5, 7, 9]], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []], [1, [1]]]], [[[4, [4, 6, 8, 10]]], [[3, [3, 5, 7, 9]]], [[1, [1]]], [[2, [2]]]]]",0,,None,,2.5,2.5,"[78.587531, 78.587531, 65.115282, 65.115282]",71.851407,"{4: 23.293765, 3: 23.293765, 1: 0.0, 2: 0.0}","{4: 0.0, 3: 0.0, 1: 260.148593, 2: 260.148593}",11.646883,130.074297,,,[],,{},{},,,74.573,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,120,1,1,609.0272659687904,"[[[[0, [19, 20, 18, 16, 17, 15]], [15, []], [17, []], [19, []], [20, []], [18, []], [16, []], [6, [6, 4, 2]], [4, []], [2, []]], [[0, [13, 14]], [8, [8, 10, 11, 9, 7, 5, 12]], [10, []], [12, []], [14, []], [13, []], [11, []], [9, []], [7, []], [5, []], [3, [3, 1]], [1, []]]], [[[8, [9, 7, 5, 12]]], [[8, [8, 10, 11]]], [[3, [3, 1]]], [[6, [6, 4, 2]]]]]",0,,None,,3.0,3.0,"[110.054532, 110.054532, 78.587531, 92.347171]",97.760941,"{8: 130.054532, 3: 0.0, 6: 0.0}","{8: 0.0, 3: 213.678969, 6: 154.771883}",43.351511,122.81695,,,[],,{},{},,,49.454,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,120,1,2,601.0272659687904,"[[[[0, [15, 13, 19, 17]], [7, [7, 11, 9]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [5, [5, 1, 3]], [3, []], [1, []]], [[0, [20, 18, 16, 14]], [8, [8, 12, 10]], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [6, [6, 4, 2]], [4, []], [2, []]]], [[[7, [7, 11, 9]]], [[8, [8, 12, 10]]], [[5, [5, 1, 3]]], [[6, [6, 4, 2]]]]]",0,,None,,3.0,3.0,"[110.054532, 110.054532, 92.347171, 92.347171]",101.200851,"{7: 55.027266, 8: 55.027266, 5: 0.0, 6: 0.0}","{7: 0.0, 8: 0.0, 5: 178.799149, 6: 178.799149}",27.513633,89.399574,,,[],,{},{},,,38.651,OK
test_data/special_data/symmetric_patch_multivisit_30_100/20\SYM20_patch_mv_30_100_1.dat,2,2,4,120,1,3,601.0272659687904,"[[[[0, [14, 16, 18, 20]], [8, [8, 10, 12]], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []], [6, [2, 4, 6]], [4, []], [2, []]], [[0, [13, 17, 15, 19]], [7, [7, 11, 9]], [19, []], [17, []], [15, []], [13, []], [11, []], [9, []], [5, [5, 3, 1]], [3, []], [1, []]]], [[[8, [8, 10, 12]]], [[7, [7, 11, 9]]], [[5, [5, 3, 1]]], [[6, [2, 4, 6]]]]]",0,653.2937654087771,"[[[[0, [16, 17, 19, 20, 18, 14]], [7, [7, 12, 10]], [17, []], [19, []], [20, []], [18, []], [16, []], [14, []], [12, []], [10, []], [8, [8, 6]], [6, []], [2, [2]]], [[0, [13, 15]], [3, [3, 5, 11, 9]], [11, []], [13, []], [15, []], [9, []], [5, []], [1, [1, 4]], [4, []]]], [[[3, [3, 5, 11, 9]]], [[7, [7, 12, 10]]], [[8, [8, 6]]], [[2, [2]], [1, [1, 4]]]]]",1,3.0,3.0,"[110.054532, 110.054532, 92.347171, 92.347171]",101.200851,"{8: 55.027266, 7: 55.027266, 5: 0.0, 6: 0.0}","{8: 0.0, 7: 0.0, 5: 178.799149, 6: 162.799149}",27.513633,85.399574,3.0,3.0,"[78.587531, 110.054532, 110.054532, 77.115282]",93.952969,"{3: 123.293765, 7: 55.027266, 8: 0.0, 1: 0.0, 2: 0.0}","{3: 0.0, 7: 0.0, 8: 185.945468, 1: 212.148593, 2: 19.175859}",35.664206,83.453984,46.592,OK
