instance,drone_count,truck_count,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_sol_multi_visit_trip_count,best_multi_visit_fitness,best_multi_visit_sol,best_multi_visit_sol_multi_visit_trip_count,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_sol_drone_trip_distances,best_sol_avg_distance_per_drone_trip,best_sol_truck_wait_by_point,best_sol_drone_wait_by_point,best_sol_avg_truck_wait_by_point,best_sol_avg_drone_wait_by_point,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,best_multi_visit_sol_drone_trip_distances,best_multi_visit_sol_avg_distance_per_drone_trip,best_multi_visit_sol_truck_wait_by_point,best_multi_visit_sol_drone_wait_by_point,best_multi_visit_sol_avg_truck_wait_by_point,best_multi_visit_sol_avg_drone_wait_by_point,runtime_sec,status
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_1.dat,1,2,4,90,1,1,431.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[26.832816],26.832816,{2: 0.0},{2: 16.583592},0.0,16.583592,,,[],,{},{},,,28.122,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_1.dat,1,2,4,90,1,2,431.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[26.832816],26.832816,{2: 0.0},{2: 16.583592},0.0,16.583592,,,[],,{},{},,,32.02,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_1.dat,1,2,4,90,1,3,431.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[26.832816],26.832816,{2: 0.0},{2: 16.583592},0.0,16.583592,,,[],,{},{},,,27.631,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_1.dat,1,2,4,90,2,1,431.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[26.832816],26.832816,{2: 0.0},{2: 16.583592},0.0,16.583592,,,[],,{},{},,,63.607,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_1.dat,1,2,4,90,2,2,431.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[26.832816],26.832816,{2: 0.0},{2: 16.583592},0.0,16.583592,,,[],,{},{},,,52.877,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_1.dat,1,2,4,90,2,3,431.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[26.832816],26.832816,{2: 0.0},{2: 16.583592},0.0,16.583592,,,[],,{},{},,,50.173,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_2.dat,1,2,4,90,1,1,432.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[24.166092],24.166092,{2: 0.0},{2: 7.916954},0.0,7.916954,,,[],,{},{},,,28.993,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_2.dat,1,2,4,90,1,2,432.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[24.166092],24.166092,{2: 0.0},{2: 7.916954},0.0,7.916954,,,[],,{},{},,,17.886,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_2.dat,1,2,4,90,1,3,432.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[24.166092],24.166092,{2: 0.0},{2: 7.916954},0.0,7.916954,,,[],,{},{},,,17.754,OK
test_data/special_data/symmetric_patch_multivisit/20\SYM20_patch_mv_2.dat,1,2,4,90,2,1,432.0,"[[[[0, [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]], [1, []], [3, []], [5, []], [7, []], [9, []], [11, []], [13, []], [15, []], [17, []], [19, []]], [[0, [2, 4, 6, 8, 10, 12, 14, 16, 18]], [2, [20]], [4, []], [6, []], [8, []], [10, []], [12, []], [14, []], [16, []], [18, []], [20, []]]], [[[2, [20]]]]]",0,,None,,1.0,3.0,[24.166092],24.166092,{2: 0.0},{2: 7.916954},0.0,7.916954,,,[],,{},{},,,31.133,OK
