seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
0,0,0,0,135,135,135,1,0,inf
0,1,0,1,131,131,131,1,0,inf
0,2,0,1,131,131,131,0,0,inf
0,3,0,2,131,131,131,0,0,inf
0,4,0,0,131,131,131,0,0,inf
0,5,0,1,131,131,131,0,0,inf
0,6,0,1,131,131,131,0,0,inf
0,7,0,2,131,131,131,0,0,inf
0,8,0,2,131,131,131,0,0,inf
0,9,0,1,135,131,131,0,0,inf
0,10,0,0,131,131,131,0,0,inf
0,11,0,0,131,131,131,0,0,inf
0,12,0,1,135,131,131,0,0,inf
0,13,0,0,131,131,131,0,0,inf
0,14,0,0,131,131,131,0,0,inf
0,15,0,0,131,131,131,0,0,inf
0,16,0,2,139,131,131,0,0,inf
0,17,0,1,135,131,131,0,0,inf
0,18,0,2,139,131,131,0,0,inf
0,19,0,0,135,131,131,0,0,inf
0,20,0,3,131,131,131,0,0,inf
0,21,0,0,132,131,131,0,0,inf
0,22,0,0,135,131,131,0,0,inf
1,0,0,0,131,131,131,0,0,inf
1,1,0,1,131,131,131,0,0,inf
1,2,0,2,131,131,131,0,0,inf
1,3,0,0,131,131,131,0,0,inf
1,4,0,1,131,131,131,0,0,inf
1,5,0,0,131,131,131,0,0,inf
1,6,0,1,131,131,131,0,0,inf
1,7,0,1,135,131,131,0,0,inf
1,8,0,2,131,131,131,0,0,inf
1,9,0,0,131,131,131,0,0,inf
1,10,0,1,135,131,131,0,0,inf
1,11,0,1,139,131,131,0,0,inf
1,12,0,2,139,131,131,0,0,inf
1,13,0,0,131,131,131,0,0,inf
1,14,0,0,131,131,131,0,0,inf
1,15,0,2,139,131,131,0,0,inf
1,16,0,3,131,131,131,0,0,inf
1,17,0,2,139,131,131,0,0,inf
1,18,0,0,135,131,131,0,0,inf
1,19,0,0,131,131,131,0,0,inf
1,20,0,0,131,131,131,0,0,inf
1,21,0,0,131,131,131,0,0,inf
1,22,0,0,131,131,131,0,0,inf
1,23,0,0,131,131,131,0,0,inf
1,24,0,0,131,131,131,0,0,inf
1,25,0,0,135,131,131,0,0,inf
1,26,0,0,131,131,131,0,0,inf
1,27,0,0,131,131,131,0,0,inf
1,28,0,0,131,131,131,0,0,inf
1,29,0,0,131,131,131,0,0,inf
1,30,0,0,131,131,131,0,0,inf
1,31,0,0,131,131,131,0,0,inf
1,32,0,0,135,131,131,0,0,inf
1,33,0,0,131,131,131,0,0,inf
1,34,0,0,131,131,131,0,0,inf
1,35,0,0,131,131,131,0,0,inf
1,36,0,0,131,131,131,0,0,inf
1,37,0,0,131,131,131,0,0,inf
1,38,0,0,131,131,131,0,0,inf
1,39,0,0,135,131,131,0,0,inf
1,40,0,0,131,131,131,0,0,inf
1,41,0,0,131,131,131,0,0,inf
1,42,0,0,131,131,131,0,0,inf
1,43,0,0,131,131,131,0,0,inf
1,44,0,0,131,131,131,0,0,inf
1,45,0,0,131,131,131,0,0,inf
1,46,0,0,135,131,131,0,0,inf
1,47,0,0,131,131,131,0,0,inf
1,48,0,0,131,131,131,0,0,inf
1,49,0,0,131,131,131,0,0,inf
1,50,0,0,131,131,131,0,0,inf
1,51,0,0,131,131,131,0,0,inf
1,52,0,0,131,131,131,0,0,inf
1,53,0,0,135,131,131,0,0,inf
1,54,0,0,131,131,131,0,0,inf
1,55,0,0,131,131,131,0,0,inf
1,56,0,0,131,131,131,0,0,inf
1,57,0,0,131,131,131,0,0,inf
1,58,0,0,131,131,131,0,0,inf
1,59,0,0,131,131,131,0,0,inf
1,60,0,0,135,131,131,0,0,inf
1,61,0,0,131,131,131,0,0,inf
1,62,0,0,131,131,131,0,0,inf
1,63,0,0,131,131,131,0,0,inf
1,64,0,0,131,131,131,0,0,inf
1,65,0,0,131,131,131,0,0,inf
1,66,0,0,131,131,131,0,0,inf
1,67,0,0,135,131,131,0,0,inf
1,68,0,0,131,131,131,0,0,inf
1,69,0,0,131,131,131,0,0,inf
1,70,0,0,131,131,131,0,0,inf
1,71,0,0,131,131,131,0,0,inf
1,72,0,0,131,131,131,0,0,inf
1,73,0,0,131,131,131,0,0,inf
1,74,0,0,135,131,131,0,0,inf
1,75,0,0,131,131,131,0,0,inf
1,76,0,0,131,131,131,0,0,inf
1,77,0,0,131,131,131,0,0,inf
1,78,0,0,131,131,131,0,0,inf
1,79,0,0,131,131,131,0,0,inf
1,80,0,0,131,131,131,0,0,inf
1,81,0,0,135,131,131,0,0,inf
1,82,0,0,131,131,131,0,0,inf
1,83,0,0,131,131,131,0,0,inf
1,84,0,0,131,131,131,0,0,inf
1,85,0,0,131,131,131,0,0,inf
1,86,0,0,131,131,131,0,0,inf
1,87,0,0,131,131,131,0,0,inf
1,88,0,0,135,131,131,0,0,inf
1,89,0,0,131,131,131,0,0,inf
1,90,0,0,131,131,131,0,0,inf
1,91,0,0,131,131,131,0,0,inf
1,92,0,0,131,131,131,0,0,inf
1,93,0,0,131,131,131,0,0,inf
1,94,0,0,131,131,131,0,0,inf
