seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
0,0,0,3,156.616,156.616,156.616,1,1,156.616
0,1,0,1,152.616,152.616,152.616,1,1,152.616
0,2,0,1,152.616,152.616,152.616,0,1,152.616
0,3,0,2,152.616,152.616,152.616,0,1,152.616
0,4,0,2,152.616,152.616,152.616,0,1,152.616
0,5,0,0,152.616,152.616,152.616,0,1,152.616
0,6,0,0,152.616,152.616,152.616,0,1,152.616
0,7,0,2,152.616,152.616,152.616,0,1,152.616
0,8,0,0,152.616,152.616,152.616,0,1,152.616
0,9,0,2,156,152.616,152.616,0,1,152.616
0,10,0,1,152.616,152.616,152.616,0,1,152.616
0,11,0,1,152.616,152.616,152.616,0,1,152.616
0,12,0,0,152.616,152.616,152.616,0,1,152.616
0,13,0,0,152.616,152.616,152.616,0,1,152.616
0,14,0,1,152.616,152.616,152.616,0,1,152.616
0,15,0,1,156.616,152.616,152.616,0,1,152.616
0,16,0,2,152.616,152.616,152.616,0,1,152.616
0,17,0,0,152.616,152.616,152.616,0,1,152.616
0,18,0,1,156.616,152.616,152.616,0,1,152.616
0,19,0,1,152.616,152.616,152.616,0,1,152.616
0,20,0,2,164.111,152.616,152.616,0,1,152.616
0,21,0,0,152.616,152.616,152.616,0,1,152.616
0,22,0,1,152.616,152.616,152.616,0,1,152.616
0,23,0,0,152.616,152.616,152.616,0,1,152.616
0,24,0,0,152.616,152.616,152.616,0,1,152.616
0,25,0,0,152.616,152.616,152.616,0,1,152.616
0,26,0,1,152.616,152.616,152.616,0,1,152.616
0,27,0,1,152.616,152.616,152.616,0,1,152.616
0,28,0,0,152.616,152.616,152.616,0,1,152.616
0,29,0,1,156.616,152.616,152.616,0,1,152.616
0,30,0,1,156.616,152.616,152.616,0,1,152.616
0,31,0,1,156,152.616,152.616,0,1,152.616
0,32,0,0,152.616,152.616,152.616,0,1,152.616
0,33,0,0,152.616,152.616,152.616,0,1,152.616
0,34,0,0,152.616,152.616,152.616,0,1,152.616
0,35,0,1,152.616,152.616,152.616,0,1,152.616
0,36,0,0,152.616,152.616,152.616,0,1,152.616
0,37,0,1,152.616,152.616,152.616,0,1,152.616
0,38,0,1,156.616,152.616,152.616,0,0,152.616
0,39,0,1,156.616,152.616,152.616,0,1,152.616
