job_id,instance,A,L,run_index,best_fitness,best_solution,best_multi_fitness,best_multi_solution,best_drone_avg_trip_time,best_multi_visit_trip_count,best_drone_trip_count,best_avg_customers_per_trip,best_multi_drone_avg_trip_time,best_multi_multi_visit_trip_count,best_multi_drone_trip_count,best_multi_avg_customers_per_trip,best_solution_file,best_multi_solution_file,log,best_avg_sortie_time,best_avg_truck_wait_for_drone,best_avg_drone_wait_for_truck,best_multi_avg_sortie_time,best_multi_avg_truck_wait_for_drone,best_multi_avg_drone_wait_for_truck
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,60,1,407,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]]],[[0,[22,23,24,25,26,27,38,37,28,35,36,41,40,39,21,42,43,20,19,18,7,5,6,1]],[22,[]],[23,[]],[24,[]],[25,[]],[26,[]],[27,[]],[38,[]],[37,[]],[28,[]],[35,[50]],[36,[]],[41,[]],[40,[]],[39,[]],[21,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[18,[]],[7,[]],[5,[]],[6,[]],[1,[]]]],[[[35,[50]]]]]",,,36.05551275464,0,1,1,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,(not found),"ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_on_timeout,timeout=True,attempt=1/3,seed=1249020755) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",41.05551275464,0,0,,,
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,90,1,407,"[[[[0,[6,5,7,18,19,20,43,42,39,21,41,40,36,35,28,37,38,27,26,25,24,23,22]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[39,[]],[21,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[1,2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,8,9,11]],[1,[]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[8,[]],[9,[]],[11,[]]]],[[[20,[50]]]]]",,,70.710678118655,0,1,1,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,"A4L90<=A4L60 | ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_on_timeout,timeout=True,attempt=1/3,seed=10317784) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",75.710678118655,0,0,,,
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,120,1,407,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]]],[[0,[1,6,5,7,18,19,20,43,42,21,39,41,40,36,35,28,37,38,27,26,25,24,23,22]],[1,[]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[21,[]],[39,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]]],[[[20,[50]]]]]",,,70.710678118655,0,1,1,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,"A4L120<=A4L90 | ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_on_timeout,timeout=True,attempt=1/3,seed=3175828264) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",75.710678118655,0,0,,,
4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,60,1,407,"[[[[0,[1,6,5,7,18,19,20,43,42,41,21,39,40,36,35,28,37,38,27,26,25,24,23,22]],[1,[]],[6,[]],[5,[]],[7,[]],[18,[50]],[19,[]],[20,[]],[50,[]],[43,[]],[42,[]],[41,[]],[21,[]],[39,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,9,8,11]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[]],[8,[]],[11,[]]]],[[[18,[50]]]]]",,,40,0,1,1,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,"A8L60<=A4L60 | ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_on_timeout,timeout=True,attempt=1/3,seed=2829709276) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",45,0,0,,,
5,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,90,1,407,"[[[[0,[6,5,7,18,19,20,43,42,39,21,41,40,36,35,28,37,38,27,26,25,24,23,22]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[39,[]],[21,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[1,2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,9,8,11]],[1,[]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[]],[8,[]],[11,[]]]],[[[20,[50]]]]]",391,"[[[[0,[6,5,7,18,19,20,21,36,35,28,37,38,27,26,25,24,23,22]],[6,[43,42,39,41,40]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[39,[]],[21,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[2,3,4,15,16,17,33,34,30,29,13,14,12,32,31,10,9,8,11]],[1,[1]],[2,[]],[3,[]],[4,[44,45,46,47,48,49]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[]],[8,[]],[11,[]]]],[[[1,[1]],[6,[43,42,39,41,40]]],[[4,[44,45,46,47,48,49]]],[[20,[50]]]]]",70.710678118655,0,1,1,42.236892706218,1,3,4.333333333333,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,"A8L90<=A4L90 | ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_on_timeout,timeout=True,attempt=1/3,seed=3085554152) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",75.710678118655,0,0,48.903559372885,7.5,0
6,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,120,1,407,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2,1]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]],[1,[]]],[[0,[22,23,24,25,26,27,38,37,28,35,36,41,40,39,21,42,43,50,20,19,18,7,5,6]],[22,[]],[23,[]],[24,[]],[25,[]],[26,[]],[27,[]],[38,[]],[37,[]],[28,[]],[35,[]],[36,[]],[41,[]],[40,[]],[39,[]],[21,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[18,[]],[7,[]],[5,[]],[6,[]]]],[]]",,,0,0,0,0,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,"A8L120<=A4L120 | ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_after_ats,timeout=False,attempt=1/3,seed=1515673802) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",0,0,0,,,
7,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,60,3,626,"[[[[0,[1,2,3,4,9,5,6,7,8,35,34,39,38,36,37,43,42,41,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[5,[]],[6,[]],[7,[]],[8,[]],[35,[]],[34,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,27,45,44,50,46,47,48,49,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[27,[]],[45,[]],[44,[]],[50,[]],[46,[]],[47,[]],[48,[]],[49,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,,0,0,0,0,,,,,results/sol_best_C101_1.5.dat_A4_L60_pid2746.txt,(not found),"ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_on_timeout,timeout=True,attempt=1/3,seed=3291825810) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",0,0,0,,,
8,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,90,3,626,"[[[[0,[1,2,3,4,9,6,5,7,8,35,34,39,38,36,37,43,42,41,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[6,[]],[5,[]],[7,[]],[8,[]],[35,[]],[34,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,49,48,47,46,50,44,45,27,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[49,[]],[48,[]],[47,[]],[46,[]],[50,[]],[44,[]],[45,[]],[27,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,,0,0,0,0,,,,,results/sol_best_C101_1.5.dat_A4_L60_pid2746.txt,(not found),"A4L90<=A4L60 | ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_on_timeout,timeout=True,attempt=1/3,seed=4024092938) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",0,0,0,,,
9,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,120,3,626,"[[[[0,[14,15,16,17,18,19,31,32,30,28,29,33,40,41,42,43,37,36,38,39,34,35,8,7,5,6,9,4,3,2,1]],[14,[]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[31,[]],[32,[]],[30,[]],[28,[]],[29,[]],[33,[]],[40,[]],[41,[]],[42,[]],[43,[]],[37,[]],[36,[]],[38,[]],[39,[]],[34,[]],[35,[]],[8,[]],[7,[]],[5,[]],[6,[]],[9,[]],[4,[]],[3,[]],[2,[]],[1,[]]],[[0,[13,20,21,49,48,47,46,50,44,45,27,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[49,[]],[48,[]],[47,[]],[46,[]],[50,[]],[44,[]],[45,[]],[27,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,,0,0,0,0,,,,,results/sol_best_C101_1.5.dat_A4_L60_pid2746.txt,(not found),"A4L120<=A4L90 | ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_on_timeout,timeout=True,attempt=1/3,seed=2229543036) | parallel_runs=3,chosen_attempt=1,best_multi_from_attempt=",0,0,0,,,
10,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,60,3,626,"[[[[0,[1,2,3,4,9,6,5,7,8,35,34,36,37,43,42,41,39,38,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[6,[]],[5,[]],[7,[]],[8,[]],[35,[]],[34,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[39,[]],[38,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,27,45,44,50,46,47,48,49,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[27,[]],[45,[]],[44,[]],[50,[]],[46,[]],[47,[]],[48,[]],[49,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,,0,0,0,0,,,,,results/sol_best_C101_1.5.dat_A4_L60_pid2746.txt,,"A8L60<=A4L60 | ATS(nimp=50,seg=4,div=3,t=7200s,selected=best_after_ats,timeout=False,attempt=2/3,seed=605198401) | parallel_runs=3,chosen_attempt=2,best_multi_from_attempt=",0,0,0,,,
