rank,manhattan_distance,truck_time,truck1_city,truck2_city,truck1_route_index,truck2_route_index
1,1,2.000,3,5,18,19
2,2,4.000,2,1,17,21
3,2,4.000,3,7,18,18
4,2,4.000,22,21,29,9
5,2,4.000,32,33,5,4
6,2,4.000,46,45,12,6
7,2,4.000,48,45,10,6
8,3,6.000,4,1,16,21
9,3,6.000,4,5,16,19
10,3,6.000,4,6,16,20
11,3,6.000,8,6,1,20
12,3,6.000,9,6,2,20
13,3,6.000,10,11,3,1
14,3,6.000,17,18,13,17
15,3,6.000,28,30,21,3
16,3,6.000,36,34,19,5
17,3,6.000,46,42,12,12
18,3,6.000,47,43,11,13
19,4,8.000,4,7,16,18
20,4,8.000,8,7,1,18
21,4,8.000,8,11,1,1
22,4,8.000,9,11,2,1
23,4,8.000,22,20,29,15
24,4,8.000,46,44,12,7
25,4,8.000,46,50,12,14
26,4,8.000,48,44,10,7
27,4,8.000,48,50,10,14
28,5,10.000,3,1,18,21
29,5,10.000,3,6,18,20
30,5,10.000,10,7,3,18
31,5,10.000,15,19,15,16
32,5,10.000,23,21,28,9
33,5,10.000,24,20,27,15
34,5,10.000,24,29,27,2
35,5,10.000,25,21,26,9
36,5,10.000,26,30,25,3
37,5,10.000,27,29,24,2
38,5,10.000,36,39,19,8
39,5,10.000,38,39,23,8
40,5,10.000,46,41,12,11
41,5,10.000,47,45,11,6
42,5,10.000,49,43,9,13
43,5,10.000,49,50,9,14
44,6,12.000,2,6,17,20
45,6,12.000,9,7,2,18
46,6,12.000,27,30,24,3
47,6,12.000,37,33,22,4
48,6,12.000,46,43,12,13
49,6,12.000,47,42,11,12
50,7,14.000,8,1,1,21
51,7,14.000,8,5,1,19
52,7,14.000,13,18,7,17
53,7,14.000,23,20,28,15
54,7,14.000,24,21,27,9
55,7,14.000,25,20,26,15
56,7,14.000,25,29,26,2
57,7,14.000,27,21,24,9
58,7,14.000,31,33,4,4
59,7,14.000,32,34,5,5
60,7,14.000,37,39,22,8
61,7,14.000,46,40,12,10
62,7,14.000,47,44,11,7
63,7,14.000,47,50,11,14
64,7,14.000,48,40,10,10
65,7,14.000,48,42,10,12
66,7,14.000,49,45,9,6
67,8,16.000,2,5,17,19
68,8,16.000,4,11,16,1
69,8,16.000,10,5,3,19
70,8,16.000,10,6,3,20
71,8,16.000,17,19,13,16
72,8,16.000,23,30,28,3
73,8,16.000,25,30,26,3
74,8,16.000,26,21,25,9
75,8,16.000,28,29,21,2
76,8,16.000,35,33,20,4
77,8,16.000,36,33,19,4
78,8,16.000,38,33,23,4
79,8,16.000,47,41,11,11
80,8,16.000,49,42,9,12
81,9,18.000,2,7,17,18
82,9,18.000,9,1,2,21
83,9,18.000,9,5,2,19
84,9,18.000,27,20,24,15
85,9,18.000,48,41,10,11
86,9,18.000,49,44,9,7
87,10,20.000,3,11,18,1
88,10,20.000,15,18,15,17
89,10,20.000,16,19,14,16
90,10,20.000,22,29,29,2
91,10,20.000,24,30,27,3
92,10,20.000,26,20,25,15
93,10,20.000,26,29,25,2
94,10,20.000,28,21,21,9
95,10,20.000,47,40,11,10
96,10,20.000,48,43,10,13
97,10,20.000,49,41,9,11
