job_id,instance,A,L,old_best_multi_fitness,new_best_multi_fitness,delta_best_multi_fitness,old_trip_count,new_trip_count,old_leg_count,new_leg_count,old_mv_trip_count,new_mv_trip_count,old_dup_pkg_cnt,new_dup_pkg_cnt,old_dup_pkgs,new_dup_pkgs,old_mv_trip_details,new_mv_trip_details
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,60,,,,0,0,0,0,0,0,0,0,,,,
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,90,,,,0,0,0,0,0,0,0,0,,,,
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,120,,,,0,0,0,0,0,0,0,0,,,,
4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,60,,,,0,0,0,0,0,0,0,0,,,,
5,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,90,391,391,0,3,3,4,4,1,1,0,0,,,"0:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2"
6,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,120,,,,0,0,0,0,0,0,0,0,,,,
7,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,60,,,,0,0,0,0,0,0,0,0,,,,
8,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,90,,,,0,0,0,0,0,0,0,0,,,,
9,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,120,,,,0,0,0,0,0,0,0,0,,,,
10,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,60,,,,0,0,0,0,0,0,0,0,,,,
11,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,90,610,610,0,2,2,3,3,1,1,0,0,,,"1:trucks=[0, 1],events=2","1:trucks=[0, 1],events=2"
12,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,120,610,610,0,2,2,3,3,1,1,0,0,,,"1:trucks=[0, 1],events=2","1:trucks=[0, 1],events=2"
13,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,,,,0,0,0,0,0,0,0,0,,,,
14,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,90,,,,0,0,0,0,0,0,0,0,,,,
15,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,120,,,,0,0,0,0,0,0,0,0,,,,
16,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,60,499.612496949731,499.612496949731,0,7,7,8,9,1,2,0,0,,,"0:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2 | 1:trucks=[0, 1],events=2"
17,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,90,,,,0,0,0,0,0,0,0,0,,,,
18,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,120,477.068883707497,477.068883707497,0,8,8,9,9,1,1,0,0,,,"7:trucks=[0, 1],events=2","7:trucks=[0, 1],events=2"
19,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,4,60,816.612496949731,816.612496949731,0,14,14,16,16,2,2,0,0,,,"2:trucks=[0, 1],events=2 | 4:trucks=[0, 1],events=2","2:trucks=[0, 1],events=2 | 4:trucks=[0, 1],events=2"
20,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,4,90,746.311288741493,746.311288741493,0,12,12,13,13,1,1,0,0,,,"0:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2"
21,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,4,120,746.311288741493,746.311288741493,0,12,12,13,13,1,1,0,0,,,"0:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2"
22,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,8,60,770.323807579381,770.323807579381,0,8,8,10,10,2,2,0,0,,,"0:trucks=[0, 1],events=2 | 3:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2 | 3:trucks=[0, 1],events=2"
23,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,8,90,741.311288741493,741.311288741493,0,7,7,9,10,2,3,0,0,,,"0:trucks=[0, 1],events=2 | 1:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2 | 1:trucks=[0, 1],events=2 | 4:trucks=[0, 1],events=2"
24,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,8,120,741.311288741493,741.311288741493,0,7,7,11,11,4,4,0,0,,,"0:trucks=[0, 1],events=2 | 1:trucks=[0, 1],events=2 | 2:trucks=[0, 1],events=2 | 5:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2 | 1:trucks=[0, 1],events=2 | 2:trucks=[0, 1],events=2 | 5:trucks=[0, 1],events=2"
25,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,4,60,645.558144296406,645.558144296406,0,12,12,13,13,1,1,0,0,,,"0:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2"
26,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,4,90,,,,0,0,0,0,0,0,0,0,,,,
27,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,4,120,,,,0,0,0,0,0,0,0,0,,,,
28,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,8,60,,,,0,0,0,0,0,0,0,0,,,,
29,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,8,90,588.298221281347,588.298221281347,0,8,8,9,9,1,1,0,0,,,"0:trucks=[0, 1],events=2","0:trucks=[0, 1],events=2"
