Number_of_cities,Dataset,Run,Fitness,Runtime,Solution,A,Drone,Truck,folder
30,C101_0.5.dat,1,323.380517140013,190.16823554039,"[[[[0, [15, 19, 13, 16, 14]], [12, [12]], [16, []], [14, []], [15, []], [19, []], [18, [18]], [17, [17]], [13, []]], [[0, [27, 28, 30, 29, 24, 9, 1, 4, 7, 3, 5, 2, 6, 11, 10, 21, 23, 26, 8]], [20, [20]], [22, [22]], [21, []], [23, []], [26, []], [25, [25]], [27, []], [28, []], [30, []], [29, []], [24, []], [11, []], [10, []], [8, []], [9, []], [6, []], [2, []], [1, []], [4, []], [7, []], [3, []], [5, []]]], [[[20, [20]]], [[22, [22]]], [[12, [12]]], [[25, [25]]], [[18, [18]]], [[17, [17]]]]]",2,2,2,appendix
30,C101_0.5.dat,2,328.380517140013,198.7441186904907,"[[[[0, [7, 10, 19, 15, 16, 14, 13, 26, 24]], [7, []], [10, []], [17, [17]], [13, []], [18, [18]], [19, []], [15, []], [16, []], [14, []], [12, [12]], [26, []], [25, [25]], [24, []]], [[0, [22, 21, 5, 3, 1, 2, 6, 11, 9, 23, 28, 30, 27, 4, 8, 20, 29]], [22, []], [21, []], [5, []], [3, []], [4, []], [1, []], [2, []], [6, []], [11, []], [9, []], [8, []], [23, []], [28, []], [29, []], [30, []], [27, []], [20, []]]], [[[17, [17]]], [[18, [18]]], [[12, [12]]], [[25, [25]]]]]",2,2,2,appendix
30,C101_0.5.dat,3,311.0,254.797016620636,"[[[[0, [18, 19, 15, 16, 11, 4, 5, 14, 13]], [13, []], [17, [17]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12]], [11, []], [8, [8]], [4, []], [5, []]], [[0, [26, 27, 30, 29, 24, 6, 2, 1, 21, 28, 3, 23, 10, 7, 9]], [21, []], [22, [22]], [23, []], [26, []], [25, [25, 20]], [27, []], [28, []], [30, []], [29, []], [24, []], [20, []], [10, []], [6, []], [2, []], [1, []], [3, []], [7, []], [9, []]]], [[[22, [22]]], [[25, [25, 20]]], [[17, [17]]], [[12, [12]]], [[8, [8]]]]]",2,2,2,appendix
30,C101_0.5.dat,4,319.380517140013,332.1579306125641,"[[[[0, [30, 21, 23, 26, 27, 28, 2, 1, 4, 3, 5, 25, 8, 15, 11, 9, 13, 6]], [21, []], [22, [22]], [23, []], [26, []], [25, []], [27, []], [28, []], [30, []], [15, []], [13, []], [11, []], [9, []], [8, []], [6, []], [2, []], [1, []], [4, []], [3, []], [5, []]], [[0, [19, 24, 29, 16, 14, 10, 7]], [20, [20]], [24, []], [29, []], [17, [17]], [19, []], [18, [18]], [16, []], [14, []], [12, [12]], [10, []], [7, []]]], [[[20, [20]]], [[22, [22]]], [[17, [17]]], [[18, [18]]], [[12, [12]]]]]",2,2,2,appendix
30,C101_0.5.dat,5,309.0,136.9598474502563,"[[[[0, [22, 17, 9, 20, 8, 23, 26, 28, 24, 21, 27, 30, 15, 6, 29]], [20, []], [21, []], [22, []], [23, []], [26, []], [28, []], [27, []], [25, [25]], [24, []], [29, []], [30, []], [17, []], [15, []], [9, []], [8, []], [6, []]], [[0, [14, 16, 19, 11, 10, 4, 1, 2, 13, 7, 3, 5]], [5, []], [3, []], [4, []], [1, []], [2, []], [12, [12]], [14, []], [16, []], [19, []], [18, [18]], [13, []], [11, []], [10, []], [7, []]]], [[[25, [25]]], [[12, [12]]], [[18, [18]]]]]",2,2,2,appendix
30,C101_0.5.dat,6,313.0,192.4844920635223,"[[[[0, [30, 17, 18, 23, 29, 24, 28, 27, 21, 26, 9, 7, 6]], [20, [20, 8]], [21, []], [22, [22]], [23, []], [26, []], [28, []], [27, []], [25, [25]], [24, []], [29, []], [30, []], [17, []], [18, []], [9, []], [6, []], [8, []], [7, []]], [[0, [14, 16, 19, 15, 5, 13, 3, 11, 10, 2, 4, 1]], [5, []], [3, []], [4, []], [1, []], [2, []], [12, [12]], [14, []], [16, []], [19, []], [15, []], [13, []], [11, []], [10, []]]], [[[20, [20, 8]]], [[22, [22]]], [[25, [25]]], [[12, [12]]]]]",2,2,2,appendix
30,C101_0.5.dat,7,322.380517140013,288.9200587272644,"[[[[0, [21, 15, 11, 9, 3, 5, 7, 4, 27, 30, 29, 24, 2, 1, 13, 6]], [21, []], [22, [22, 25, 8]], [24, []], [25, []], [27, []], [29, []], [30, []], [15, []], [13, []], [11, []], [8, []], [9, []], [6, []], [2, []], [1, []], [4, []], [3, []], [5, []], [7, []]], [[0, [18, 16, 14, 23, 10, 26, 28]], [20, [20]], [23, []], [26, []], [28, []], [17, [17]], [18, []], [19, [19]], [16, []], [14, []], [12, [12]], [10, []]]], [[[20, [20]]], [[22, [22]]], [[22, [25, 8]]], [[17, [17]]], [[19, [19]]], [[12, [12]]]]]",2,2,2,appendix
30,C101_0.5.dat,8,323.380517140013,236.5865023136139,"[[[[0, [19, 13, 11, 15, 16, 14, 23]], [11, []], [12, [12]], [14, []], [16, []], [19, []], [15, []], [18, [18]], [17, [17]], [13, []], [23, []]], [[0, [22, 24, 29, 30, 21, 5, 3, 2, 1, 4, 9, 6, 10, 7, 27, 26, 28]], [20, [20, 8]], [22, []], [24, []], [27, []], [29, []], [30, []], [28, []], [26, []], [25, [25]], [21, []], [5, []], [3, []], [2, []], [1, []], [4, []], [8, []], [9, []], [6, []], [7, []], [10, []]]], [[[20, [20, 8]]], [[25, [25]]], [[12, [12]]], [[18, [18]]], [[17, [17]]]]]",2,2,2,appendix
30,C101_0.5.dat,9,320.0,160.1555147171021,"[[[[0, [28, 24, 30, 29, 4, 1, 2, 5, 3, 9, 11, 21, 23, 26, 27]], [22, [22]], [21, []], [5, []], [3, []], [4, []], [1, []], [2, []], [9, []], [11, []], [23, []], [26, []], [27, []], [28, []], [30, []], [29, []], [25, [25, 20]], [24, []], [20, []]], [[0, [18, 19, 16, 14, 13, 7, 10, 6, 15]], [7, []], [10, []], [13, []], [17, [17]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12]], [8, [8]], [6, []]]], [[[22, [22]]], [[17, [17]]], [[12, [12]]], [[8, [8]]], [[25, [25, 20]]]]]",2,2,2,appendix
30,C101_0.5.dat,10,323.380517140013,270.8711133003235,"[[[[0, [29, 30, 28, 6, 11, 21, 10, 23, 2, 9, 1, 4, 3, 5, 24, 27]], [20, [20, 8]], [24, []], [25, [25]], [27, []], [29, []], [30, []], [28, []], [23, []], [22, [22]], [21, []], [11, []], [8, []], [9, []], [6, []], [10, []], [1, []], [2, []], [4, []], [3, []], [5, []]], [[0, [19, 26, 15, 14, 16, 13, 7]], [26, []], [12, [12]], [14, []], [16, []], [19, []], [15, []], [18, [18]], [17, [17]], [13, []], [7, []]]], [[[20, [20, 8]]], [[25, [25]]], [[12, [12]]], [[22, [22]]], [[18, [18]]], [[17, [17]]]]]",2,2,2,appendix
30,C101_0.5.dat,1,324.0,295.3037850856781,"[[[[0, [24, 16, 18, 15, 19, 17, 12, 13, 26, 29, 28, 30, 27]], [24, []], [29, []], [30, []], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, [14]], [12, []], [26, []], [28, []], [27, []]], [[0, [11, 10, 2, 1, 4, 23]], [5, [5]], [4, []], [2, []], [1, []], [9, [9, 20]], [8, [8, 3]], [3, []], [6, [6]], [10, []], [11, []], [7, [7]], [25, [25]], [23, []], [22, [22]], [21, [21]], [20, []]]], [[[5, [5]]], [[9, [9, 20]]], [[8, [8, 3]]], [[6, [6]]], [[14, [14]]], [[7, [7]]], [[25, [25]]], [[22, [22]]], [[21, [21]]]]]",4,2,2,appendix
30,C101_0.5.dat,2,322.862805856482,368.8286716938019,"[[[[0, [15, 30, 19, 18, 17, 27, 26, 16, 13]], [25, [25, 12]], [27, []], [30, []], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, [14]], [12, []], [26, []]], [[0, [2, 4, 11, 3, 23, 1, 29]], [5, [5]], [1, []], [2, []], [9, [9, 8]], [11, []], [8, []], [4, []], [3, []], [7, [7]], [6, [6]], [10, [10]], [23, []], [22, [22]], [29, []], [28, [28, 20]], [24, [24]], [21, [21]], [20, []]]], [[[5, [5]]], [[9, [9, 8]]], [[25, [25, 12]]], [[7, [7]]], [[6, [6]]], [[10, [10]]], [[14, [14]]], [[22, [22]]], [[28, [28, 20]]], [[24, [24]]], [[21, [21]]]]]",4,2,2,appendix
