algo	rep	makespan	drone_trips	multi_trips	legs
F3	1	156.62	2	1	3
F3	2	156.62	2	1	3
F3	3	156.62	2	1	3
F3	4	156.62	2	1	3
F3	5	156.62	2	1	3
F3	6	156.62	2	1	3
F3	7	156.62	2	1	3
F3	8	156.62	2	1	3
F3	9	156.62	2	1	3
F3	10	156.62	2	1	3
F4	1	156.62	2	1	3
F4	2	156.62	2	1	3
F4	3	156.62	2	1	3
F4	4	156.62	2	1	3
F4	5	156.62	2	1	3
F4	6	156.62	2	1	3
F4	7	156.62	2	1	3
F4	8	156.62	2	1	3
F4	9	156.62	2	1	3
F4	10	156.62	2	1	3

AGG
F3: n=10 best=156.620000 mean=156.620000 worst=156.620000
F4: n=10 best=156.620000 mean=156.620000 worst=156.620000
F3: multi_visit_runs=10/10 rate=1.00
F4: multi_visit_runs=10/10 rate=1.00
